particle_i,particle_j,surface_gap_nm
0,1,0.9777811745906337
0,4,2.5230501681868596
0,113,2.5129193248486885
1,2,1.6363640311545495
1,46,3.026064270620413
2,3,2.2026569998398386
2,5,2.828411548821645
2,113,4.41229883019804
3,7,3.8471981158813726
4,6,2.546802851007609
5,17,2.308699676372953
6,8,1.893491389078907
6,10,3.503915964316697
7,9,3.393231386459302
8,12,3.523264415941483
9,13,2.5179765898003694
10,11,2.7083133791538927
10,30,2.469591131746455
10,40,2.8196197375468515
11,16,1.3282419248915325
12,14,2.790817098356154
13,19,1.83400778199438
14,15,3.7362854893521167
15,22,3.47627325862835
16,18,1.8568726819961832
17,20,2.03049752354519
18,26,3.1430443857028116
19,21,3.774892161050186
19,89,2.525197134775155
20,24,2.668143205209958
20,130,2.1624553126390573
21,37,1.550820272384506
21,49,3.1172379478969727
21,67,3.1674096544130528
21,192,3.610270574726812
22,23,3.2923155274616605
23,27,1.727650545013752
24,25,0.6518939902073662
25,28,1.96026384577522
25,75,2.3175819454684614
26,32,1.6644894514236945
26,51,2.584591194839714
27,29,2.0470823972475323
27,71,3.5061690857918038
28,75,3.3005809712004854
28,82,1.5468752201479425
29,33,2.6464289888591424
29,36,2.7451093527011885
30,31,2.5992077087321306
31,44,2.147657650332569
32,34,2.4640970793436594
32,92,2.9381230507313987
33,69,2.7001587041896897
34,35,4.3580553732758105
34,56,2.4755223704451907
35,39,2.0906051033753883
35,51,3.5558973798104176
36,38,2.121684146110386
37,47,3.2091189093612726
37,49,0.07909344774635407
38,42,3.6514440806812765
38,124,2.5943271173296196
39,41,1.5635619909576164
40,45,3.136954289623855
40,60,2.063527713057592
41,43,2.5885972962565766
41,96,2.358556559524832
42,86,1.502338093355963
42,160,3.089769134295185
43,48,2.6036301564134163
43,66,2.984688527079001
43,96,0.12264396037895864
44,50,1.0693507433789549
44,68,3.6317661458913193
45,52,2.726055780877161
45,136,1.1953699125056758
46,78,1.4621268678638941
47,58,2.188105944189921
47,61,2.0079392146470134
47,76,0.6237217966130153
48,54,2.1719227866876274
48,66,3.421091209619412
48,70,1.6207682869098257
49,61,2.536586532306792
50,53,3.6965451632667197
50,68,0.2654287818327745
50,144,5.017770836310717
51,81,2.1137986459040476
52,55,3.6168920607341235
52,60,5.4178354153565
53,59,2.8400188421987167
53,190,4.503649846180085
54,57,3.403726552466864
54,70,3.7829557042550874
55,85,3.2563076796745776
56,138,2.3782054483665753
57,63,3.3325136564335125
58,62,1.9067923854212339
58,76,1.2162106198904716
59,72,3.5553852686717313
59,171,5.943766979778019
60,64,2.8535598004760665
61,76,2.328614164857875
62,109,1.8004542385269815
63,65,3.3707177277784375
64,92,2.4473296827550897
65,74,1.6331601967438587
65,99,2.023586652643772
65,166,5.049664222605443
66,84,2.1671314670236157
67,192,1.9086693099897865
68,107,2.974681414274677
69,133,5.911332615239054
70,73,2.6459654485846613
71,112,2.66638742458402
72,97,2.4149278994984122
72,171,2.912093447962828
73,79,2.9219835613679805
74,77,1.966112822432068
75,83,2.8544751280079055
76,90,3.0202413901774534
77,88,2.352810764812766
78,80,3.6033696976385983
78,125,2.783901066802134
79,98,3.8022847342625
80,87,3.6031527058084656
82,119,2.3601690492383938
83,93,2.5473800651609544
84,114,2.3112209232871805
85,95,2.29460533181771
86,91,3.018925918726268
87,128,1.007554002637054
88,102,2.3174911516731065
88,108,2.377487552850564
88,189,2.97734251342046
89,103,3.0485518004752628
90,122,1.9048359621127613
91,94,2.021568361620268
92,110,1.950660882139907
92,155,2.0700034528555946
93,105,2.7003004668869934
94,101,2.6832644520418043
95,104,2.06265447093692
96,124,1.4743301519646437
97,100,2.9261534708222854
98,163,2.1926035404795847
98,166,2.2501945840245945
99,106,2.1701291667382883
100,126,2.0694816785943217
101,121,1.9168632540567572
102,116,2.0927992986001875
104,147,3.318148823046439
105,120,3.1207700002243115
105,146,2.607507792030578
106,183,1.954131679967574
106,193,2.0780680835608756
107,143,2.405053757978159
107,144,1.5069381242752513
108,117,2.1221438097374765
108,189,2.0131806560610634
109,111,3.375392487497649
110,145,1.5810597930768928
110,155,3.356412429225209
111,123,2.938611551922488
112,133,1.0756124936670801
114,115,2.41979297120562
114,118,1.7384825402092012
115,160,4.60214035462916
115,161,2.9184625503095063
116,157,1.0729845161343192
116,168,2.2282880344226896
117,131,2.018272241943418
117,196,2.21940874146906
118,129,1.3497035492074012
119,153,2.717307311719665
120,127,2.2421473215411787
120,146,3.4409570488222663
121,176,3.295453281112401
121,188,3.1785768430041053
122,139,2.4578061438093037
123,151,0.3961951167205413
123,172,2.9112953043441365
125,134,1.9995274559890994
125,142,2.8149494113954674
127,132,3.0824750825424196
128,134,3.0685507445032485
128,141,3.1745952533297412
129,184,3.0494818373933548
130,179,2.655726482765221
131,135,2.8079957592420612
132,137,1.9331532605932793
133,140,3.45395828303921
133,148,1.3730878314947752
134,142,3.9778368434833062
134,159,3.553397222714274
135,152,2.433786895177139
136,190,2.8042764273120824
137,186,3.352313635669013
138,165,1.7380282348068192
139,151,1.7060706785174382
140,162,1.8852906841860815
141,149,1.9410033987241597
142,150,2.9799542407292066
143,170,2.2245041438395106
144,158,3.044897326940575
145,155,2.795335028691415
145,175,2.9791134756153284
145,187,2.0343886734494596
147,167,2.1550713033718623
148,156,3.225584202028486
149,198,2.8979956783590737
150,178,2.4842011130323467
152,154,2.5544485850763046
153,174,3.1453644758307213
154,191,2.004833909964656
155,187,3.238646357174197
156,162,2.9271450069596554
156,185,1.7526861733498897
157,168,2.243866850270834
157,169,2.2565113760280866
158,171,1.548907042443826
162,164,2.4285871824387826
163,166,1.7367062979215149
163,195,1.5547015680144156
164,180,2.7604173909171585
164,185,2.357759776573321
169,173,3.3075733661700077
170,177,1.6525598643243278
174,182,1.4627185571635088
176,194,2.238269744544777
180,181,2.537489742364304
183,193,5.83502252461626
184,193,3.0350759869595514
187,197,1.8455332162437195
196,199,2.5075389267845516
