particle_id,x_nm,y_nm,radius_nm,degree,incident_intensity_v2_per_m2,scattered_intensity_v2_per_m2,total_intensity_v2_per_m2,dipole_intensity_c2_m2,normalized_dipole_intensity,directly_illuminated,remote
0,0.0,0.0,21.86837933453816,3,4.036023955819594e-82,7.241118792717489e-05,7.241118792717489e-05,1.4817387451821388e-70,3.380120846090382e-05,False,True
1,-28.131160683900482,-23.425088477806305,13.761174433700381,3,5.182775576242425e-73,0.00016837980203274346,0.00016837980203274346,2.1399146228664578e-71,4.881542072867532e-06,False,True
2,-22.077186962123687,-56.825046527256426,18.546648011314915,4,3.50031536837605e-68,0.00016604856571232762,0.00016604856571232762,1.2646023621625185e-70,2.884792491428869e-05,False,True
3,-66.24524013803855,-64.43352799601733,24.069283895803494,2,5.2257864116942e-60,0.00012537395550372613,0.00012537395550372613,4.5603078371853426e-70,0.00010402907823784246,False,True
4,44.53463268324566,1.4687148671446497,20.16741509172765,2,1.380391687331219e-90,5.3791870307210455e-05,5.3791870307210455e-05,6.77202757155981e-71,1.544825067128444e-05,False,True
5,-15.988424249792022,-98.39552746546863,20.63896091876244,2,1.3702677971465716e-62,0.00020296456289005816,0.00020296456289005816,2.9352098977998744e-70,6.695758071700163e-05,False,True
6,83.44587216286457,-13.410762547845119,18.944915581420574,3,1.3319958523069216e-95,0.00010280062388388542,0.00010280062388388542,8.893492411639054e-71,2.028770536835265e-05,False,True
7,-101.19263446820008,-99.80922216167552,21.81037298810362,2,1.500706689243273e-49,0.0001687828685065065,0.0001687828685065065,3.399183454953834e-70,7.754167793164272e-05,False,True
8,94.18431192891589,24.571834271985644,18.632997232884644,2,3.3097921630597163e-105,5.070651384711779e-05,5.070651384711779e-05,3.970865125107143e-71,9.058279693386897e-06,False,True
9,-133.07395581242432,-130.98027707016388,19.38398711412016,2,4.780405672864419e-41,0.00043908275694126285,0.00043908275694126285,4.3583174882124874e-70,9.94213038140975e-05,False,True
10,98.37105222911168,-55.17300896278589,21.900308531970367,4,2.2019926987280232e-91,8.600051236850277e-05,8.600051236850277e-05,1.7752850030233335e-70,4.049754294393631e-05,False,True
11,139.86780113186538,-32.99617728124127,22.442329545033893,2,1.707627012455866e-104,4.5164130859811455e-05,4.5164130859811455e-05,1.0795780994583675e-70,2.4627178379636064e-05,False,True
12,137.9683765934027,25.921343701109322,21.64859532209955,2,3.252272229742336e-115,3.156658714998654e-05,3.156658714998654e-05,6.079631404564344e-71,1.3868766618900588e-05,False,True
13,-146.37458748986052,-167.98859225066695,17.42388270169767,2,1.0656015252518763e-34,0.0008264455731748666,0.0008264455731748665,4.327375789505323e-70,9.871546628940838e-05,False,True
14,183.83481544863974,20.003660462982538,21.80720030056426,2,4.4999980346106295e-125,3.112236187434788e-05,3.112236187434788e-05,6.262385231981533e-71,1.4285661988454896e-05,False,True
15,226.93875981607422,33.62917905791544,19.662761311692808,2,5.426725034783527e-139,2.31574310298105e-05,2.31574310298105e-05,2.504186793452209e-71,5.712514443301252e-06,False,True
16,187.97566125432417,-36.54995048084175,24.468370366688898,2,1.644578877326876e-115,3.5169180715839254e-05,3.5169180715839254e-05,1.4118471183039624e-70,3.220685084728108e-05,False,True
17,-22.040927193827404,-138.93110693675214,18.037287800102316,2,8.055925494240539e-56,0.00030634581474621426,0.00030634581474621426,1.9741152291657596e-70,4.503322910590049e-05,False,True
18,236.76829294549324,-32.92417251612798,22.601918867774785,2,6.225086260670246e-129,3.175446166554631e-05,3.175446166554631e-05,7.920004840197592e-71,1.8066999697843434e-05,False,True
19,-156.99442818036277,-207.3256700658884,21.487498302432385,3,4.935314746378236e-29,0.0007627614805788379,0.0007627614805786808,1.4046841312744462e-69,0.0003204344983035103,False,True
20,-47.915554706406496,-169.47824808174565,19.965003500600922,3,8.844405379310785e-48,0.00028845067389112226,0.00028845067389112226,3.4181577157410286e-70,7.797451600538876e-05,False,True
21,-202.63277215393606,-226.70915468965157,24.32165855240414,5,1.81800081020585e-22,0.0012587657891294142,0.0012587657888606541,4.874206663957e-69,0.0011118969255925423,False,True
22,259.25243893790855,55.98550406789117,16.1544652272349,2,1.5215621348769042e-152,2.2114734424520363e-05,2.2114734424520363e-05,7.355150175090876e-72,1.677846146210747e-06,False,True
23,297.0403900505132,61.40304946677551,18.727543698233497,2,1.2492738701100036e-164,1.8753971907462844e-05,1.8753971907462844e-05,1.5139163971078299e-71,3.4535240370414965e-06,False,True
24,-36.21012519283904,-213.16560508124013,22.595187794791457,2,1.016763241633024e-44,0.0001040896747403552,0.0001040896747403552,2.591506931968807e-70,5.91170787159159e-05,False,True
25,-30.853760579876717,-254.98469046789992,18.913640984466806,3,1.2682134190879583e-41,0.00016201580935987271,0.00016201580935987271,1.3878075518351307e-70,3.165846375801532e-05,False,True
26,278.56300767131745,-13.72079565611859,20.250339352773086,3,3.854543840003226e-144,4.287611707975133e-05,4.287611707975133e-05,5.53233471681389e-71,1.2620281385402742e-05,False,True
27,335.88554727674614,79.10800378436869,22.23451935755847,3,2.3302620633397476e-180,2.19258149699859e-05,2.19258149699859e-05,4.956556481087447e-71,1.1306824459455338e-05,False,True
28,-56.67201577496067,-288.10507592439905,21.120645222182134,3,5.909407185923746e-35,0.00013882891203138807,0.00013882891203138796,2.3057142640810433e-70,5.259761799770089e-05,False,True
29,381.09437135939123,82.28118266334111,21.038447220603413,3,1.2517941688097258e-195,1.9692423046583544e-05,1.9692423046583544e-05,3.194959802855018e-71,7.288295772223722e-06,False,True
30,60.619659662091756,-73.51257883058922,17.600416795481898,2,1.531135579159871e-80,7.593516661478101e-05,7.593516661478101e-05,4.223954934836645e-71,9.635624481448425e-06,False,True
31,75.7888904506925,-108.71397346094311,18.131090942275364,2,3.243087215682927e-78,0.00011006051341984146,0.00011006051341984146,7.316562162266515e-71,1.6690435049232107e-05,False,True
32,279.34019071457374,-53.5881422689748,17.960092379829938,3,2.625848687604761e-137,4.8333398604413887e-05,4.8333398604413887e-05,3.0355183534843916e-71,6.924580259957576e-06,False,True
33,420.49329466043065,98.70745395696419,19.00115834392378,2,9.499840082170523e-213,2.5044242625533447e-05,2.5044242625533447e-05,2.2055051128963776e-71,5.0311661434915086e-06,False,True
34,320.3924230800591,-63.910150252941584,21.90581917549214,3,8.116907993663752e-148,2.6934494633403582e-05,2.6934494633403582e-05,5.568411764494913e-71,1.2702579821161761e-05,False,True
35,344.9963384206682,-28.980050900801295,16.46158028600535,3,1.7644908917345133e-161,3.528862217146884e-05,3.528862217146884e-05,1.3140597348461781e-71,2.9976139297184846e-06,False,True
