bin_left,bin_right,count,probability
13.308043795463183,14.393340557761015,3,0.015
14.393340557761015,15.478637320058846,6,0.03
15.478637320058846,16.563934082356678,8,0.04
16.563934082356678,17.64923084465451,18,0.09
17.64923084465451,18.73452760695234,36,0.18
18.73452760695234,19.819824369250174,30,0.15
19.819824369250174,20.905121131548007,32,0.16
20.905121131548007,21.990417893845837,33,0.165
21.990417893845837,23.075714656143667,13,0.065
23.075714656143667,24.1610114184415,13,0.065
24.1610114184415,25.246308180739334,6,0.03
25.246308180739334,26.331604943037163,2,0.01
