upstream,downstream,upstream_graph_distance,downstream_graph_distance,upstream_degree,downstream_degree,upstream_mean_gap_nm,downstream_mean_gap_nm,edge_gap_nm,edge_in_loop,downstream_euclidean_nm,enhancement_ratio,enhancement
1,0,14,15,3,2,2.864912739301843,2.921570392964842,2.418659204525966,True,292.5981943331369,1.11680070701106,True
1,2,14,15,3,3,2.864912739301843,2.954560624932648,2.453198893153857,True,303.0514769875785,0.8329675298957924,False
3,1,13,14,2,3,3.4393378880243546,2.864912739301843,3.7228801202257067,False,280.6323458387221,0.7750129898777258,False
2,4,15,16,3,2,2.954560624932648,2.7385094397668848,2.9860014002403688,False,319.4043376909223,1.2523100063443875,True
11,3,12,13,3,2,2.3240654896159634,3.4393378880243546,3.1557956558230025,False,261.078074138606,0.6436727455455062,False
4,5,16,17,2,4,2.7385094397668848,2.83525026131068,2.491017479293401,False,319.96641574720434,1.0879662863609143,True
5,6,17,18,4,4,2.83525026131068,3.313108425639949,3.1001357411092307,True,328.2620376176894,0.8123046576201532,False
5,10,17,18,4,4,2.83525026131068,2.7557550559059756,3.1963251033621454,True,306.00425146338813,0.8878653070923913,False
5,39,17,18,4,3,2.83525026131068,2.8564612339030284,2.5535227214779432,True,342.3888269730828,0.4751876552672954,False
6,7,18,19,4,2,3.313108425639949,2.500005501321759,3.415378888241367,True,344.5906085967469,0.853355170251612,False
7,8,19,20,2,3,2.500005501321759,2.6208628577012725,1.584632114402151,True,362.71642479206065,0.9970705105820871,False
8,9,20,21,3,4,2.6208628577012725,3.6095601423195154,3.543836123631557,True,359.44764811173,0.7838599818166394,False
8,15,20,21,3,5,2.6208628577012725,3.3733547918448537,2.7341203350701093,True,380.6068319154245,0.8371571661300099,False
9,18,21,22,4,3,3.6095601423195154,4.022781550781523,4.341560549656062,True,369.74580624746324,0.8978118535153301,False
10,21,18,19,4,2,2.7557550559059756,2.865780703708836,2.785116746716497,True,310.25242667766423,1.0437006076647968,True
10,185,18,19,4,1,2.7557550559059756,2.662957410937352,2.662957410937352,False,288.2489874333051,0.7020972180155612,False
11,12,12,13,3,2,2.3240654896159634,3.0542696439188397,2.0278770443448515,True,237.11128052556575,1.0476089428578237,True
14,11,11,12,3,3,2.777986075360772,2.3240654896159634,1.7885237686800366,True,241.2686711775793,1.0232770552373418,True
13,12,12,13,2,2,3.122915889322165,3.0542696439188397,4.080662243492828,True,237.11128052556575,0.6629100915069872,False
16,13,11,12,3,2,3.152278021092844,3.122915889322165,2.1651695351515023,True,221.89484757083707,0.721210059036833,False
17,14,10,11,3,3,3.0356374207211942,2.777986075360772,2.937381648035064,True,219.49893961235824,0.844796567599359,False
15,22,21,22,5,4,3.3733547918448537,3.317008882555937,3.4402159857315233,True,391.2779535989358,0.8491475413306253,False
15,56,21,22,5,3,3.3733547918448537,2.5605028016004368,1.8859859352315809,True,402.4352952356774,0.724735792058034,False
16,19,11,12,3,2,3.152278021092844,2.698379151072743,3.2246661650841197,True,204.92162716739762,0.7230044763292497,False
65,16,10,11,2,3,3.7468147106197964,3.152278021092844,4.066998363042909,True,210.08664635645712,0.6112890499445179,False
31,17,9,10,2,3,2.7705984235931247,3.0356374207211942,1.823449260077684,True,197.87307328811295,0.6414130471578273,False
