upstream,downstream,upstream_graph_distance,downstream_graph_distance,upstream_degree,downstream_degree,upstream_mean_gap_nm,downstream_mean_gap_nm,edge_gap_nm,edge_in_loop,downstream_euclidean_nm,enhancement_ratio,enhancement
1,0,14,15,3,2,2.864912739301843,2.921570392964842,2.418659204525966,True,292.5981943331369,1.11680070701106,True
2,4,15,16,3,2,2.954560624932648,2.7385094397668848,2.9860014002403688,False,319.4043376909223,1.2523100063443875,True
4,5,16,17,2,4,2.7385094397668848,2.83525026131068,2.491017479293401,False,319.96641574720434,1.0879662863609143,True
10,21,18,19,4,2,2.7557550559059756,2.865780703708836,2.785116746716497,True,310.25242667766423,1.0437006076647968,True
11,12,12,13,3,2,2.3240654896159634,3.0542696439188397,2.0278770443448515,True,237.11128052556575,1.0476089428578237,True
14,11,11,12,3,3,2.777986075360772,2.3240654896159634,1.7885237686800366,True,241.2686711775793,1.0232770552373418,True
17,186,10,11,3,2,3.0356374207211942,3.9770670817090252,4.346081354050835,True,203.3694851131927,1.0099820932963257,True
26,136,14,15,5,2,3.2820935061286995,2.8460696025868533,2.5499404168520954,True,217.66999532568767,1.0755923617941134,True
34,42,25,26,3,4,3.111920622482014,2.362966774727613,1.2996250838350214,True,396.72410506214385,1.0470053944597473,True
35,40,26,27,4,5,4.1429001581396365,3.309739556065613,4.699856214733586,True,426.0190262604104,1.0232630343739377,True
43,52,16,17,3,2,3.588893513772471,2.6544442265597823,3.8874347554086057,True,267.7271516619454,1.1865682097711605,True
43,60,16,17,3,2,3.588893513772471,4.144850305113513,3.326812470268248,True,235.25912649644008,1.044938770567186,True
69,82,32,33,2,2,4.640070977383836,3.0100190903226416,4.408565056819931,False,525.063604604105,1.100780688748942,True
73,81,19,20,3,3,3.0280901933599473,3.3528181285431877,3.123780741319809,True,376.36970760027185,1.1416265158096222,True
84,88,12,13,3,2,2.5928221593123943,1.8819308426715136,2.135975480213414,False,154.5505109288721,1.8122807623156538,True
94,101,8,9,4,4,2.291050345026786,3.5801869955508643,2.300008478232524,True,133.27239156057306,1.5649513178908565,True
176,96,1,2,2,2,3.043395392547268,3.5309189072299834,3.4991930659693757,True,26.058010594613133,1.379641029298868,True
98,113,35,36,3,3,3.7195585810604044,4.123229769213055,4.622701992916266,True,568.4862817713276,1.0405167671482605,True
99,129,31,32,2,3,3.2975801229971378,3.7505205451402914,3.9971275145966665,False,456.95434702484516,1.0300317335362512,True
101,108,9,10,4,2,3.5801869955508643,2.780563386771142,4.513959045001847,True,115.43082380566753,4.112986134439171,True
101,134,9,10,4,3,3.5801869955508643,2.1304625052073063,3.163832208166653,True,136.00489636050025,1.4970992910657852,True
112,115,5,6,2,2,3.227387580213808,3.2208048192003105,3.5682046277630484,False,76.30230678041461,1.5253194523817861,True
115,153,6,7,2,2,3.2208048192003105,3.5527736173913524,2.8734050106375726,False,63.71534742520706,2.4991722199444713,True
127,141,25,26,3,2,3.681258358137452,3.1292644417326443,3.149830330058556,True,477.20896718109185,1.2240156612313806,True
138,192,21,22,2,1,2.5348608373379733,3.498936135995809,3.498936135995809,False,414.569052008069,1.0456776729374677,True
170,172,11,12,2,2,2.803466805721019,3.1646574417423228,3.4265460325272095,False,118.70695101472263,2.0582930412856926,True
172,182,12,13,2,1,3.1646574417423228,2.902768850957436,2.902768850957436,False,114.51680955346961,1.123823317521767,True
