step,id,x_nm,y_nm,euclidean_nm,cumulative_geodesic_nm,dipole_intensity,dipole_normalized,incident_intensity,scattered_intensity,total_intensity
0,169,-78.823475231271,-281.78105521748154,0.0,0.0,2.426982168465827e-68,1.0,1.0,0.02907545845835165,1.2968073649580405
1,147,-65.67779364148676,-263.83145667095476,22.248528770268575,22.248528770268575,2.0178814533105615e-68,0.8314364561591028,0.72088852503657,0.07022674383502653,1.078212919841735
2,89,-42.519527041556096,-269.01065586943747,38.48453915106726,45.97887677132047,1.3571654323479192e-68,0.559198765438737,0.37560656230401973,0.07574841233412444,0.7251730774963964
3,86,-30.687612080723724,-249.0608134377281,58.203741661286166,69.17349736943333,6.564966600730325e-69,0.27049916913399696,0.10648134396421982,0.09018797424476735,0.35078531474799746
4,83,-15.263265326026291,-233.43896786017564,79.85522959243285,91.12691469016133,1.4581142629374783e-69,0.060079315039187085,0.01475601828625135,0.03590112382351787,0.07791129822445214
5,62,-17.669316724928503,-210.12272746538002,94.20587581911472,114.56696907324795,1.551522668909625e-70,0.0063928062145194595,0.0028296525520323805,0.00593038908040399,0.008290238181738345
6,58,-20.63454142160833,-187.82343351217853,110.51690682616,137.06254793472846,2.1731686053741988e-71,0.0008954200956276198,0.000311110282121513,0.0010932946882503767,0.0011611873747413282
7,55,-16.99322250308828,-165.16198955280183,131.99616141742086,160.01467737385332,8.019013660416002e-72,0.0003304109014317595,9.936159277068307e-06,0.00046132353784504544,0.0004284792904391296
8,47,-15.816856974606607,-142.2211509362703,153.12348228512136,182.98565715892875,3.4584182452997077e-72,0.00014249870848807614,1.8516526695115991e-07,0.0001875132962818819,0.000184793374664346
9,31,-12.177179031182261,-118.78433598470437,176.0955969859518,206.7034047460373,1.6278889710913615e-72,6.707461604962685e-05,1.2473381103423306e-09,8.714240876782386e-05,8.698285609488886e-05
10,17,-2.5481482298868965,-99.20003861576896,197.87307328811295,228.526854006115,1.0441492253823304e-72,4.302253386733247e-05,5.721563947192388e-12,5.580266333466467e-05,5.579193877831337e-05
11,14,13.159551339562682,-82.48502586963176,219.49893961235824,251.46423565415006,8.820936816645222e-73,3.6345288940549647e-05,1.464901980458401e-14,4.713335295197152e-05,4.713283837963277e-05
12,11,23.14281300099637,-63.118191987510414,241.2686711775793,273.2527594228301,9.026262250171375e-73,3.719130023883597e-05,1.9301895096588873e-17,4.822998072150172e-05,4.8229952062088145e-05
13,3,20.087457549563243,-40.1648550728126,261.078074138606,296.4085550786531,5.809959004581567e-73,2.3939026335138787e-05,2.680691778097022e-20,3.1044306653665476e-05,3.104430566133242e-05
14,1,14.481411106813882,-17.113883629501643,280.6323458387221,320.13143519887876,4.502793699207776e-73,1.855305637475753e-05,2.4359998388481566e-23,2.405974018490015e-05,2.4059740149267238e-05
15,2,23.14618408579622,3.6000693915473114,303.0514769875785,342.5846340920326,3.750680945259439e-73,1.5454093540499163e-05,4.258877552323074e-27,2.0040982322624195e-05,2.0040982322069768e-05
16,4,44.115193533885524,13.015848867394958,319.4043376909223,365.57063549227297,4.6970152783536207e-73,1.9353315979749265e-05,5.088014665052908e-30,2.5097522698920192e-05,2.5097522698898925e-05
17,5,64.78413548803319,4.147889364219724,319.96641574720434,388.0616529715664,5.1101942693708646e-73,2.1055755315257145e-05,4.011974694548875e-30,2.7305258567598183e-05,2.7305258567579894e-05
18,6,87.6845122793535,1.1165507039525786,328.2620376176894,411.1617887126756,4.1510346063537693e-73,1.7103688112293676e-05,1.1462828860248837e-31,2.2180188711970463e-05,2.2180188711967695e-05
19,7,110.56353292882879,6.099560095954825,344.5906085967469,434.577167600917,3.542306843225354e-73,1.4595520680996843e-05,8.027846012537072e-35,1.892757871451416e-05,1.8927578714514092e-05
20,8,130.45973214727786,14.468407099805912,362.71642479206065,456.16179971531915,3.531929692813125e-73,1.4552763257612934e-05,1.6724614554894388e-38,1.887213057296319e-05,1.887213057296319e-05
21,15,152.35991637286944,20.5694035999359,380.6068319154245,478.89592005038924,2.956780252605872e-73,1.2182950048104175e-05,2.5404355893111406e-42,1.5798939349297365e-05,1.5798939349297365e-05
22,22,175.29793156344948,15.743309467569361,391.2779535989358,502.33613603612076,2.5107426817552215e-73,1.0345122079501485e-05,1.0959669165436509e-44,1.3415630504087548e-05,1.3415630504087548e-05
23,27,196.55932808237995,21.71165333912473,409.80911716055084,524.4193448270623,2.149181290801278e-73,8.855364982594184e-06,5.987275657907583e-49,1.148370252881966e-05,1.148370252881966e-05
24,36,220.82600661380718,29.77679850981469,432.270873630393,549.9911702130596,1.6924153257387462e-73,6.973332345530071e-06,2.2189722823036958e-54,9.043068743983509e-06,9.043068743983509e-06
25,38,241.33313101611665,20.8295320561421,440.5376488495986,572.3651669111199,1.558205380042674e-73,6.420341279341436e-06,1.8809184848924713e-56,8.325945856594095e-06,8.325945856594095e-06
26,44,260.18857888751506,34.388113486349226,463.564575951086,595.5893578513999,1.1809878091931343e-73,4.866075344672493e-06,1.9794987355624083e-62,6.31036234541202e-06,6.31036234541202e-06
27,49,280.44141539115475,22.53344562429391,470.8275449211977,619.0565804515034,1.069436480066848e-73,4.4064455600960315e-06,2.2279847659496546e-64,5.71431105561918e-06,5.71431105561918e-06
28,50,304.31509315229493,17.603086162049433,486.23659538599867,643.4340482090392,8.141862384256155e-74,3.3547269073686217e-06,1.2983028762971234e-68,4.3504345608985324e-06,4.3504345608985324e-06
29,57,326.8447066209815,23.11993427180357,507.4754054718883,666.6292868608514,7.329794277148422e-74,3.0201269594748693e-06,1.130519512215815e-74,3.916522884155336e-06,3.916522884155336e-06
