metric,value
N,200
particle_radius_nm,10.0
gap_mean_nm,3.171086949744263
gap_median_nm,3.1344645955339416
gap_std_nm,1.0372982642147268
gap_min_nm,1.0471677285404368
gap_max_nm,5.833763039491924
mean_coordination,2.54
connected_components,1
minimum_all_pair_surface_gap_nm,1.0471677285404368
wavelength_nm,633.0
polarization,"[1,0,0]"
beam_waist_nm,55.0
source_particle,169
source_position_nm,"[-78.823475231271, -281.78105521748154]"
incident_amplitude_v_per_m,(1+0j)
surrounding_refractive_index,1.0
silver_relative_permittivity,(-15+1j)
silver_source,UNSOURCED illustrative assumption
remote_incident_threshold,1e-06
remote_distance_threshold_nm,500.0
all_pair_interaction_blocks,39800
matrix_finite,True
solution_finite,True
remote_particles,31
strongest_remote_particle,57
selected_target_particle,57
target_x_nm,326.8447066209815
target_y_nm,23.11993427180357
target_euclidean_nm,507.4754054718883
target_geodesic_nm,666.6292868608514
target_geodesic_steps,29
target_incident_normalized,1.130519512215815e-74
target_scattered_normalized,4.342622081216743e-05
target_total_normalized,3.020126959474863e-06
target_dipole_normalized,3.0201269594748693e-06
downstream_edges,212
enhancement_events,27
enhancement_probability,0.12735849056603774
maximum_enhancement_ratio,1.11680070701106
strongest_enhancement_downstream_degree,2
