distance_type,bin_min_nm,bin_max_nm,metric,count,mean,median,percentile_95,maximum
euclidean,11.12426438513429,94.44610612033321,M2,14,3.9362183817352148,3.4590232765256284,10.73211414316674,11.240323650697121
euclidean,11.12426438513429,94.44610612033321,M4,14,31.175872477089307,12.056983454124918,115.31734616079109,126.34487577242106
euclidean,94.44610612033321,177.76794785553213,M2,34,0.010520820050858647,0.003382540046790369,0.0483068947374184,0.11506017700621407
euclidean,94.44610612033321,177.76794785553213,M4,34,0.0006020042806465844,1.1443977097129554e-05,0.0025257096389222637,0.013238844332701312
euclidean,177.76794785553213,261.089789590731,M2,45,0.0008452357498006733,0.0005368887556550854,0.0021257330872143042,0.005502915515436241
euclidean,177.76794785553213,261.089789590731,M4,45,1.551956964571017e-06,2.88249535948866e-07,4.518825492175138e-06,3.0282079170028913e-05
euclidean,261.089789590731,344.41163132592993,M2,43,0.000199232653073875,0.00017321424839428703,0.0004284570579108922,0.000578606309064783
euclidean,261.089789590731,344.41163132592993,M4,43,5.373281650929597e-08,3.000317584679777e-08,1.8421796182110538e-07,3.3478526088957127e-07
euclidean,344.41163132592993,427.73347306112885,M2,48,9.924937503200332e-05,9.872707116674659e-05,0.00017245338108733024,0.0002405478950002967
euclidean,344.41163132592993,427.73347306112885,M4,48,1.2152942487941592e-08,9.747091760977924e-09,2.976242429691366e-08,5.786328978907376e-08
euclidean,427.73347306112885,511.05531479632776,M2,42,4.037375510724303e-05,4.145715416145087e-05,7.273995512359879e-05,9.394456814891002e-05
euclidean,427.73347306112885,511.05531479632776,M4,42,2.0280657663568434e-09,1.7186981199366328e-09,5.294654762898879e-09,8.825581884685199e-09
euclidean,511.05531479632776,594.3771565315268,M2,22,1.9238557978714632e-05,1.5913100106519728e-05,4.355864849041694e-05,4.4969499985767445e-05
euclidean,511.05531479632776,594.3771565315268,M4,22,5.313850261110431e-10,2.5386196818004453e-10,1.899741560983836e-09,2.0222559289699383e-09
euclidean,594.3771565315268,677.6989982667257,M2,6,1.192555284784592e-05,1.1092298952528123e-05,1.7593209331059217e-05,1.934514814950244e-05
euclidean,594.3771565315268,677.6989982667257,M4,6,1.5496239930140215e-10,1.232944366369668e-10,3.187288834371738e-10,3.742347569261977e-10
geodesic,0.0,82.5580414298026,M2,56,0.9905771425079912,0.004021051600533824,6.480215550041914,11.240323650697121
geodesic,0.0,82.5580414298026,M4,56,7.79433414811446,1.6172314894595154e-05,46.37985137364028,126.34487577242106
geodesic,82.5580414298026,165.1160828596052,M2,29,0.0008032815377518961,0.0006494284391789962,0.00202700169150428,0.0022424271290394037
geodesic,82.5580414298026,165.1160828596052,M4,29,1.0599710802139755e-06,4.2175729761446716e-07,4.118423579103678e-06,5.028479429051903e-06
geodesic,165.1160828596052,247.6741242894078,M2,30,0.0004134302428760345,0.00027274064785612996,0.0013862399841081709,0.002130324767121499
geodesic,165.1160828596052,247.6741242894078,M4,30,3.7569868493599576e-07,7.452512066415165e-08,1.9455867598223627e-06,4.538283613411269e-06
geodesic,247.6741242894078,330.2321657192104,M2,31,0.0001358031617868015,0.0001188479523682708,0.0002800165598229029,0.000316613800007069
geodesic,247.6741242894078,330.2321657192104,M4,31,2.4116966218060614e-08,1.4124835782130766e-08,7.870164111008615e-08,1.0024429835491627e-07
geodesic,330.2321657192104,412.790207149013,M2,40,9.474397502602808e-05,8.506263002409437e-05,0.00018207488815969025,0.0002723313896283561
geodesic,330.2321657192104,412.790207149013,M4,40,1.2023804981171966e-08,7.314539851469014e-09,3.3155472995444945e-08,7.41643857769115e-08
geodesic,412.790207149013,495.3482485788156,M2,33,5.1062951609308775e-05,4.4969499985767445e-05,9.867924656467647e-05,0.00011833818152491076
geodesic,412.790207149013,495.3482485788156,M4,33,3.1829517594378353e-09,2.0222559289699383e-09,9.73764859519373e-09,1.400392520662273e-08
geodesic,495.3482485788156,577.9062900086182,M2,21,2.241615835693477e-05,1.8852593571889592e-05,4.39129976099775e-05,5.947052602378864e-05
geodesic,495.3482485788156,577.9062900086182,M4,21,6.631246236929288e-10,3.5542028438685276e-10,1.9283513590938895e-09,3.536743465546122e-09
geodesic,577.9062900086182,660.4643314384208,M2,14,1.0627291459189889e-05,9.437459339059569e-06,2.2718223115071064e-05,3.387616097528335e-05
geodesic,577.9062900086182,660.4643314384208,M4,14,1.7387570121301195e-10,8.907986715961197e-11,5.831558954328037e-10,1.1475942824233104e-09
