hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm,radius_i_nm,radius_j_nm,coordination_i,coordination_j,euclidean_distance_nm,geodesic_distance_nm,geodesic_steps,Einc_x_real,Einc_x_imag,Einc_y_real,Einc_y_imag,Einc_z_real,Einc_z_imag,Escat_x_real,Escat_x_imag,Escat_y_real,Escat_y_imag,Escat_z_real,Escat_z_imag,Etotal_x_real,Etotal_x_imag,Etotal_y_real,Etotal_y_imag,Etotal_z_real,Etotal_z_imag,M2_inc,M2_scat,M2_total,M4,f_inc,f_scat,remote_classification
0,0,1,7.24070555340694,-8.556941814750822,2.418659204525966,10.0,10.0,2,3,286.45847754752515,157.40635643128246,7,1.6557559824569229e-12,0.0,0.0,0.0,0.0,0.0,-0.011133677501651226,-0.004369625091539286,0.013770175794154172,0.0044433653634375,0.0,0.0,-0.01113367749999547,-0.004369625091539286,0.013770175794154172,0.0044433653634375,0.0,0.0,2.7415278734418897e-24,0.00035241363530629,0.0003524136352694207,1.2419537032380828e-07,7.779290013412755e-21,1.0000000001046192,transition
1,0,2,11.57309204289811,1.8000346957736557,3.424481581403718,10.0,10.0,2,3,297.6403432522935,168.09756527086324,8,1.9111984941857603e-13,0.0,0.0,0.0,0.0,0.0,-0.01596375114933163,-0.0010103650345929579,-0.002260378708729128,-0.00019053049288556034,0.0,0.0,-0.015963751149140507,-0.0010103650345929579,-0.002260378708729128,-0.00019053049288556034,0.0,0.0,3.6526796841779173e-26,0.00026100780203651007,0.0002610078020304081,6.81250727207447e-08,1.3994522982697547e-22,1.0000000000233786,transition
2,1,2,18.81379759630505,-6.756907118977166,2.453198893153857,10.0,10.0,3,3,291.8412566490807,156.88823566860026,7,5.916814706520931e-13,0.0,0.0,0.0,0.0,0.0,0.00128939783628233,0.003090562691249187,-0.0020184556190888576,0.006048699341764048,0.0,0.0,0.0012893978368740113,0.003090562691249187,-0.0020184556190888576,0.006048699341764048,0.0,0.0,3.5008696271302374e-25,5.1875051342039175e-05,5.187505134356501e-05,2.6910209518975056e-09,6.748657661935043e-21,0.9999999999705864,transition
3,1,3,17.284434328188564,-28.63936935115712,3.7228801202257067,10.0,10.0,3,2,270.7719398370779,134.95239501115915,6,2.9780378677018966e-11,0.0,0.0,0.0,0.0,0.0,-0.0024489244702944313,-0.002265339146850259,0.013761346742881786,0.008250873887590066,0.0,0.0,-0.0024489244405140526,-0.002265339146850259,0.013761346742881786,0.008250873887590066,0.0,0.0,8.86870954146646e-22,0.0002685805765981978,0.00026858057645233805,7.213552604747021e-08,3.30206661204344e-18,1.0000000005430765,transition
4,2,4,33.63068880984087,8.307959129471135,2.9860014002403688,10.0,10.0,3,2,311.1230869848328,178.01855654447414,8,1.2674320816126607e-14,0.0,0.0,0.0,0.0,0.0,-0.013619203937756097,0.0006131673872146812,-0.0076866693300900206,-0.0007323153560718931,0.0,0.0,-0.013619203937743423,0.0006131673872146812,-0.0076866693300900206,-0.0007323153560718931,0.0,0.0,1.6063840815010022e-28,0.00024547986131382007,0.0002454798613134749,6.026036231048288e-08,6.543852815077439e-25,1.000000000001406,transition
5,3,11,21.615135275279805,-51.64152353016151,3.155795655823006,10.0,10.0,2,3,251.10180908497173,111.54611235953278,5,8.86557132079216e-10,0.0,0.0,0.0,0.0,0.0,-0.001092091191743377,-0.0022898464122765357,0.0183423878042254,0.010915226219140936,0.0,0.0,-0.0010920903051862448,-0.0022898464122765357,0.0183423878042254,0.010915226219140936,0.0,0.0,7.859835484405244e-19,0.00046202141353851746,0.0004620214116021158,2.134637847788117e-07,1.7011842496974985e-15,1.0000000041911514,transition
6,4,5,54.44966451095935,8.58186911580734,2.491017479293401,10.0,10.0,2,4,319.4876485940126,198.8393340497542,9,2.2163202183556128e-15,0.0,0.0,0.0,0.0,0.0,-0.018204976293804232,-0.0056420987976546644,0.00844016295777982,0.0015541993562634788,0.0,0.0,-0.018204976293802015,-0.0056420987976546644,0.00844016295777982,0.0015541993562634788,0.0,0.0,4.912075310291871e-30,0.0004369063270933587,0.00043690632709327806,1.9088713865413848e-07,1.1242856891022224e-26,1.0000000000001845,transition
7,5,6,76.23432388369335,2.632220034086151,3.1001357411092307,10.0,10.0,4,4,323.93491970718543,221.42184294893707,10,8.606272838995831e-16,0.0,0.0,0.0,0.0,0.0,-0.01642406215414201,-0.003178102739330448,0.0021428496738962704,0.00017757897427109014,0.0,0.0,-0.01642406215414115,-0.003178102739330448,0.0021428496738962704,0.00017757897427109014,0.0,0.0,7.406793217923735e-31,0.00028447349368188014,0.00028447349368185184,8.09251686075586e-08,2.603684836172227e-27,1.0000000000000995,transition
8,5,10,69.62100260641422,-6.393556981246422,3.1963251033621454,10.0,10.0,4,4,312.8482654344042,220.1567655647121,10,8.879300487138632e-15,0.0,0.0,0.0,0.0,0.0,-0.0034914848563951453,-0.0031469576723042215,0.011345986537679072,0.00657662958301285,0.0,0.0,-0.003491484856386266,-0.0031469576723042215,0.011345986537679072,0.00657662958301285,0.0,0.0,7.884197714090034e-29,0.00019407727627906554,0.00019407727627900355,3.766598916787667e-08,4.0624012585356933e-25,1.0000000000003193,transition
9,5,39,70.93626816083695,13.59863591479846,2.5535227214779432,10.0,10.0,4,3,331.17539563541123,216.07232708705382,10,1.7940126568717568e-16,0.0,0.0,0.0,0.0,0.0,-0.0013401544434172895,0.0031874797608392254,-0.0058081202236770465,0.003236319396100542,0.0,0.0,-0.0013401544434171102,0.0031874797608392254,-0.0058081202236770465,0.003236319396100542,0.0,0.0,3.21848141301606e-32,5.616406492423368e-05,5.616406492423319e-05,3.154402188813481e-09,5.730499416945473e-28,1.0000000000000087,transition
