hotspot_id,max_adjacent_particle_intensity_normalized,hotspot_M4_normalized
0.0,2.072006647654526e-05,9.829869993897926e-10
1.0,2.072006647654526e-05,5.391993328123184e-10
2.0,1.855305637475753e-05,2.129901141970104e-11
3.0,2.3939026335138787e-05,5.709414458359551e-10
4.0,1.9353315979749265e-05,4.769513756856033e-10
5.0,3.7191300238835973e-05,1.6895325866900509e-09
6.0,2.1055755315257145e-05,1.5108419513425641e-09
7.0,2.1055755315257145e-05,6.405100967713578e-10
8.0,2.1055755315257145e-05,2.981204337540574e-10
9.0,2.1055755315257145e-05,2.4966601688661708e-11
10.0,1.7103688112293676e-05,3.4317177395480597e-10
11.0,1.869467465904303e-05,9.259464124068226e-11
12.0,1.7103688112293676e-05,6.45711299802205e-11
13.0,1.4595520680996842e-05,4.5797892027928477e-10
14.0,1.4552763257612934e-05,1.882968035603355e-10
15.0,1.4552763257612934e-05,2.1606813297244575e-10
16.0,1.2182950048104175e-05,4.215220212038582e-11
17.0,1.1407328742494333e-05,1.1179587376042977e-10
18.0,1.2034528994813886e-05,5.801998801241329e-11
19.0,1.951164330173889e-05,8.774549979768762e-10
20.0,1.869467465904303e-05,3.529900263734985e-10
21.0,3.896193872671487e-05,3.6609915089729193e-09
22.0,3.7191300238835973e-05,2.060653699881648e-09
23.0,5.87740920313086e-05,3.3905526051411736e-09
24.0,8.149372196749538e-05,1.5318586068196965e-08
25.0,4.302253386733247e-05,1.4375665957922393e-09
26.0,4.345198881424052e-05,1.6065665298764074e-09
27.0,1.2182950048104175e-05,1.5771827851907527e-10
28.0,1.2182950048104175e-05,7.839141246756874e-11
29.0,1.2182950048104175e-05,4.7195437757097294e-11
30.0,8.149372196749538e-05,4.922355045328132e-09
31.0,0.00013331454567179298,1.0514401046059142e-08
32.0,6.707461604962687e-05,5.7867306277232e-09
33.0,4.345198881424052e-05,7.675900451400713e-10
34.0,1.0241634961957536e-05,2.1816554180406015e-10
35.0,1.0345122079501486e-05,1.5206240840742044e-11
36.0,0.00012289312760121608,6.524088636716527e-09
37.0,9.979485006138484e-06,1.57623753747385e-10
38.0,1.951164330173889e-05,7.934179976992617e-10
39.0,1.0345122079501486e-05,1.5772079167995924e-10
40.0,1.0345122079501486e-05,9.420348207466165e-11
41.0,0.00012289312760121608,3.085726184805432e-10
42.0,0.00028542576578414303,6.22479540417483e-08
43.0,0.00012289312760121608,9.58060486233089e-09
44.0,8.804719056112186e-05,3.9591956483155634e-10
45.0,8.804719056112186e-05,1.3255959936949518e-08
46.0,7.515835356586519e-05,2.209301518998434e-09
47.0,5.7431655421366715e-05,3.7546225236171057e-10
48.0,5.7431655421366715e-05,1.5491834934004223e-09
49.0,6.177304989641352e-05,9.28309963407679e-10
50.0,5.7431655421366715e-05,4.907563582196855e-09
51.0,8.855364982594185e-06,1.4637672441209656e-10
52.0,8.855364982594185e-06,1.8589177153116286e-11
53.0,8.289583018714752e-06,7.105753787918575e-11
54.0,8.289583018714752e-06,1.0033258279502793e-10
55.0,9.024813889363255e-06,9.751873754550476e-11
56.0,0.00028542576578414303,7.498018153083758e-10
57.0,0.000428840007388865,8.273945883837716e-08
58.0,0.00043831738908633127,4.63427655668233e-07
59.0,0.00014249870848807614,1.3846663659601753e-08
60.0,3.6239185666002744e-05,2.141440675747464e-10
61.0,6.177304989641352e-05,6.996474875413475e-09
62.0,3.6239185666002744e-05,3.594029580128431e-10
63.0,1.680516339787297e-05,4.943132791795634e-10
64.0,1.680516339787297e-05,4.9247457372130906e-11
65.0,8.573210922047678e-06,1.957115637612504e-11
66.0,8.97619808322514e-06,2.1727563069876705e-10
67.0,5.906956479797263e-06,9.216447762625304e-12
68.0,8.97619808322514e-06,4.244447759344281e-11
69.0,5.7726667351091325e-06,1.5241621000355125e-11
70.0,6.973332345530071e-06,6.985310508818968e-11
71.0,6.973332345530071e-06,2.6865689895726736e-11
72.0,1.6217439151989012e-05,2.374704606211418e-10
73.0,1.6217439151989012e-05,1.9008139787044912e-10
74.0,6.420341279341436e-06,1.5415355250777707e-11
75.0,6.420341279341436e-06,9.360518227774892e-12
76.0,6.420341279341436e-06,4.2377696736198424e-11
77.0,1.0005434998138936e-05,2.4493386153109646e-10
78.0,5.906956479797263e-06,3.295110679444179e-11
79.0,6.799860823140345e-06,1.8740844549374085e-11
80.0,5.906956479797263e-06,6.097951636168369e-11
81.0,5.906956479797263e-06,1.61340972639861e-11
82.0,0.000214779269628356,1.0785452656227907e-08
83.0,0.000214779269628356,2.0645149176776006e-08
84.0,0.000428840007388865,4.049744287004909e-07
85.0,8.97619808322514e-06,6.890484705736858e-11
86.0,9.055613668473688e-06,1.1083888540004841e-10
87.0,2.908112549324836e-05,1.3285750001518838e-09
88.0,2.5609986235418834e-05,1.5745621543063657e-10
89.0,4.866075344672493e-06,7.367624071902277e-12
90.0,4.866075344672493e-06,2.178820722964744e-11
91.0,4.406445560096031e-06,2.022367350740351e-11
92.0,4.046336351680452e-06,1.4195556781829621e-11
93.0,4.532288481761881e-06,6.260151412525533e-12
94.0,4.532288481761881e-06,2.619384459357868e-11
95.0,0.0003304109014317595,1.2425781339392616e-07
96.0,3.305000346431889e-06,2.3121296989927295e-11
97.0,3.305000346431889e-06,1.7191808392399526e-12
98.0,4.406445560096031e-06,1.2192775048526478e-11
99.0,3.3547269073686217e-06,1.36359666613862e-11
100.0,4.344933565987744e-05,6.636931042629112e-11
101.0,4.344933565987744e-05,3.3381432767733156e-09
102.0,2.908112549324836e-05,2.6497731613002163e-09
103.0,1.503056060337012e-05,5.869995543824052e-10
104.0,1.503056060337012e-05,1.2517168647280312e-10
105.0,1.503056060337012e-05,4.3975010647252584e-11
106.0,6.799860823140345e-06,7.67730062082523e-11
107.0,0.0008954200956276193,7.325411920086907e-07
108.0,0.0006426416371195066,8.795419716293407e-08
109.0,8.829419952716243e-06,3.672830179088791e-11
110.0,3.0201269594748693e-06,1.6005840494968158e-11
111.0,0.003060938471875304,1.3800149885144456e-08
112.0,0.0063928062145194595,1.1510389679600142e-05
113.0,0.0008954200956276193,2.942783290302361e-07
114.0,0.0063928062145194595,0.00010478338952620291
115.0,0.003060938471875304,3.7987168642118755e-06
116.0,3.631851836370773e-05,2.3903927143661076e-11
117.0,4.6303775123533494e-06,4.384781928494635e-12
118.0,0.060079315039187085,0.00018433472021601923
119.0,3.0829550711190138e-06,2.799277330341982e-11
120.0,0.00019371070023320225,2.396779369554691e-07
121.0,0.0003036112943712576,9.416937967912271e-08
122.0,0.000428840007388865,6.176914146178642e-09
123.0,0.00019371070023320225,1.567753681695299e-09
124.0,2.336445184211344e-06,2.3524070751515433e-12
125.0,2.336445184211344e-06,8.6931528647768e-13
126.0,5.455178537050213e-06,1.407569948626023e-11
127.0,1.4629678744751446e-06,7.243586963595718e-13
128.0,5.141425136378366e-06,6.383547155814237e-12
129.0,1.3642896852935122e-05,1.2632695349186763e-10
130.0,1.3642896852935122e-05,8.221263808560522e-11
131.0,1.4379002532505146e-05,1.2033881713399747e-10
132.0,0.0005612399102890253,6.420937137017251e-07
133.0,0.0003036112943712576,1.0768209636589282e-08
134.0,1.1387961200496715e-05,1.1284116068478416e-10
135.0,9.975207340397628e-06,8.992432019461457e-12
136.0,3.631851836370773e-05,2.2814501513150086e-09
137.0,6.779784410545249e-05,2.1123604309822877e-09
138.0,3.909248709214189e-06,1.818088074325097e-11
139.0,2.5651024446438494e-06,6.663898791628827e-12
140.0,2.6289575788556373e-06,1.5262600460087798e-11
141.0,0.00043831738908633127,3.587296307851764e-09
142.0,2.9568741602774345e-06,5.688613299237485e-12
143.0,8.316623617653395e-06,4.59337807154632e-11
144.0,1.1387961200496715e-05,1.202706854752781e-10
145.0,1.1387961200496715e-05,1.0570758850681748e-10
146.0,1.4629678744751446e-06,9.083029884729291e-12
147.0,0.27049916913399696,0.07880829168585383
148.0,0.060079315039187085,0.00010930055414591962
149.0,0.00029413796302245527,3.979963095701214e-08
150.0,0.00016230264600205685,2.8767050619924245e-08
151.0,6.926393052504515e-06,1.0060248875777328e-11
152.0,0.559198765438737,0.11204999806137077
153.0,0.29199000653987645,0.193546888845194
154.0,1.1369534577447558e-05,1.3027652833651855e-10
155.0,1.1369534577447558e-05,2.6103244556992006e-10
156.0,0.00029413796302245527,2.158640578264939e-08
157.0,0.8046099699527101,0.16905243369187165
158.0,0.8314364561591028,0.8657212643724671
159.0,0.0005612399102890253,9.320039303576996e-08
160.0,0.0008783131372597562,6.349513677940316e-07
161.0,1.8476224140119517e-05,1.1330258279005764e-10
162.0,2.9976317690586632e-05,6.815379030761854e-10
163.0,0.00014516853112037968,3.514976749219305e-08
164.0,0.0008783131372597562,3.846310193311373e-07
165.0,0.0006426416371195066,1.1778224340254728e-07
166.0,9.826998064202521e-06,2.3622461582518918e-11
167.0,9.826998064202521e-06,1.6580391779459835e-10
168.0,0.8046099699527101,0.8086541257620286
169.0,1.3000667436799873e-06,4.47667615443934e-14
170.0,1.0664374427033757e-06,7.228731636357701e-13
171.0,1.024911348258381e-06,2.2100424057569694e-12
172.0,1.816735385600272e-06,1.156248203825828e-12
173.0,4.253139121953118e-06,1.3570488834797769e-11
174.0,4.253139121953118e-06,1.991707012636938e-11
175.0,0.003612489755245146,1.5986587517593566e-06
176.0,0.0013149219751253465,4.905996176879779e-10
177.0,5.54850822604167e-06,1.3403200997439241e-11
178.0,5.54850822604167e-06,2.551767895026041e-11
179.0,7.517732724626825e-06,7.752041806223243e-11
180.0,9.055613668473688e-06,1.5458191126687344e-11
181.0,1.3240558862254917e-05,1.577330818070039e-10
182.0,2.36677354824538e-06,1.0733758600036942e-11
183.0,0.00010371054900824323,1.673700765629398e-08
184.0,5.258290469831762e-06,1.9803222016370467e-11
185.0,0.003612489755245146,3.573955671626956e-05
186.0,2.353593859978875e-06,4.491636400934719e-12
187.0,2.353593859978875e-06,5.413178069197069e-12
188.0,7.02850740489293e-05,7.3744390679174754e-09
189.0,7.02850740489293e-05,3.775704076983614e-11
190.0,0.03426092140756116,4.429425908004325e-06
191.0,1.0664374427033757e-06,1.8085134181818478e-12
192.0,1.0664374427033757e-06,7.86827143167917e-15
193.0,0.0001677553437344055,2.667579700902318e-08
194.0,0.08562394301147766,0.0017641894204924679
195.0,2.1267295059345277e-06,8.346055719195048e-12
196.0,2.1267295059345277e-06,1.7922176704511645e-12
197.0,3.5878884118221712e-06,1.1419290593349499e-11
198.0,9.113743630970039e-07,2.1039135495058567e-13
199.0,9.113743630970039e-07,5.626481279690103e-13
200.0,4.83195439735974e-06,4.573554773565008e-12
201.0,0.8314364561591028,0.21990101807383253
202.0,5.750832323997279e-06,4.7014126924980204e-11
203.0,5.750832323997279e-06,1.0697827806335981e-11
204.0,6.779784410545249e-05,4.026074952154064e-09
205.0,6.779784410545249e-05,1.8434780314171504e-08
206.0,1.4379002532505146e-05,2.8879155907097175e-10
207.0,1.4379002532505146e-05,1.68725152338995e-10
208.0,2.9989293527953935e-06,1.3966798180264887e-11
209.0,4.714162593922462e-06,2.7334548466664747e-11
210.0,3.851390748693473e-06,1.5723371200118724e-12
211.0,1.1580408088391807e-05,8.909344033834829e-11
212.0,1.816735385600272e-06,4.414429723376303e-12
213.0,1.816735385600272e-06,2.2054578222233495e-12
214.0,9.07690729963296e-06,2.6098340798195846e-11
215.0,3.698223853147372e-05,1.6023246360080558e-09
216.0,0.00011182402515406933,4.8333080310995855e-09
217.0,0.0013149219751253465,8.043704155840103e-08
218.0,2.592946685529051e-05,8.641362639734153e-10
219.0,2.592946685529051e-05,5.305229023185573e-11
220.0,5.586512861100653e-06,4.1215043112816394e-11
221.0,1.9490673908914934e-05,4.352919592784836e-10
222.0,4.837235195084876e-05,2.568726669488248e-10
223.0,4.714162593922462e-06,2.143496055896952e-11
224.0,1.4756855854097431e-06,2.9620097739483215e-12
225.0,1.4484778366535963e-06,3.4095615456961646e-13
226.0,2.260614727885919e-06,2.064531844323178e-12
227.0,2.4747085158458192e-05,1.5140951295573837e-09
228.0,9.75039364121157e-05,3.591980747668675e-08
229.0,1.0,1.0
230.0,1.1275724335369827e-05,7.66604810685393e-11
231.0,1.765308241671003e-06,3.3526368915246493e-12
232.0,2.8094801313085024e-05,7.617802536588929e-11
233.0,1.4049501366145695e-05,2.052530794508003e-10
234.0,0.08562394301147766,2.345096494661929e-07
235.0,6.347465922213804e-06,4.911361858286538e-12
236.0,7.485083696246832e-07,9.505877160780358e-14
237.0,8.299798258005472e-05,1.1688637328446149e-08
238.0,1.2629139966278576e-06,1.2047284232110282e-12
239.0,2.2108086911605722e-05,5.471197230278625e-10
240.0,2.2108086911605722e-05,1.082664593378546e-10
241.0,2.20252930149956e-06,2.8130961561674586e-12
242.0,2.20252930149956e-06,1.6565916102321255e-12
243.0,5.404241777288073e-07,6.872333660515477e-13
244.0,1.0,0.004733894353155541
245.0,0.001385813119787797,1.317448902491653e-07
246.0,0.0015574090977451118,9.74227005634253e-09
247.0,1.0494783934738297e-06,1.0645828524145312e-12
248.0,9.046634872123433e-07,8.871296469360736e-13
249.0,1.5377629728971028e-05,6.98702723334705e-10
250.0,1.5377629728971028e-05,1.369585158988931e-11
251.0,3.299023467578834e-06,4.232306993174453e-12
252.0,7.775049324909427e-07,6.779206064568074e-13
253.0,1.6372370500803518e-06,1.3778910882609958e-12
