bin_min_nm,bin_max_nm,metric,count,mean,median,p95,maximum
0.0,101.2509991323703,M2,13,4.2111196400347035,3.7625713395713722,10.771207182207537,11.240323650697121
0.0,101.2509991323703,M4,13,33.55788673856303,14.15694308536391,116.16561766937798,126.34487577242106
101.2509991323703,202.5019982647406,M2,30,0.02365542203281802,0.0036534675476113045,0.05411940205137232,0.47211893964459883
101.2509991323703,202.5019982647406,M4,30,0.00767097294741056,1.3389500744008304e-05,0.003137955858785709,0.22289629317114035
202.5019982647406,303.7529973971109,M2,37,0.0010588405202120283,0.00068010846003051,0.002609914540823111,0.005502915515436241
202.5019982647406,303.7529973971109,M4,37,2.2856699005913654e-06,4.625475174050718e-07,7.35184190167788e-06,3.0282079170028913e-05
303.7529973971109,405.0039965294812,M2,37,0.0004053690574456359,0.0002610078020304081,0.0012774195014186667,0.002130324767121499
303.7529973971109,405.0039965294812,M4,37,3.51889981454419e-07,6.81250727207447e-08,1.6472675507063007e-06,4.538283613411269e-06
405.0039965294812,506.25499566185147,M2,43,0.0001318892275531036,0.00012327037282103894,0.00027139003140372775,0.000316613800007069
405.0039965294812,506.25499566185147,M4,43,2.2267315338459865e-08,1.5195584815437936e-08,7.366052454308001e-08,1.0024429835491627e-07
506.25499566185147,607.5059947942218,M2,47,6.770335355345196e-05,5.246740260136357e-05,0.00013980380969472116,0.00018160427282446525
506.25499566185147,607.5059947942218,M4,47,6.001777370944585e-09,2.7528283357335723e-09,1.9601864314059368e-08,3.298011190810281e-08
607.5059947942218,708.756993926592,M2,30,2.97006923257207e-05,2.6480545427665056e-05,5.5962235037008374e-05,5.947052602378864e-05
607.5059947942218,708.756993926592,M4,30,1.084285806742725e-09,7.013272256481001e-10,3.1347677507981172e-09,3.536743465546122e-09
708.756993926592,810.0079930589624,M2,17,1.0838657263348605e-05,9.556742125786296e-06,2.225135071465861e-05,3.387616097528335e-05
708.756993926592,810.0079930589624,M4,17,1.731230380239723e-10,9.133132005877838e-11,5.289066620256197e-10,1.1475942824233104e-09
