hotspot_id,steps,corrected_geodesic_nm,classification,M2,M4
0,14,306.9500180518242,transition,0.0003524136352694207,1.2419537032380828e-07
1,15,317.6412268914049,transition,0.0002610078020304081,6.81250727207447e-08
2,14,306.43189728914194,transition,5.187505134356501e-05,2.6910209518975056e-09
3,13,284.49605663170087,transition,0.00026858057645233805,7.213552604747021e-08
4,15,327.56221816501585,transition,0.0002454798613134749,6.026036231048288e-08
5,12,261.0897739800745,transition,0.0004620214116021158,2.134637847788117e-07
6,16,348.38299567029594,transition,0.00043690632709327806,1.9088713865413848e-07
7,17,370.9655045694788,transition,0.00028447349368185184,8.09251686075586e-08
8,17,369.70042718525383,transition,0.00019407727627900355,3.766598916787667e-08
9,17,365.61598870759553,transition,5.616406492423319e-05,3.154402188813481e-09
10,18,393.875994790595,transition,0.0002082258272859573,4.335799514892132e-08
11,18,381.25049505580847,transition,0.00010816126129417083,1.1698858444745896e-08
12,18,377.1660565781502,transition,9.032292840600227e-05,8.158231395835813e-09
13,19,416.2813038933766,transition,0.0002405478950002967,5.786328978907376e-08
14,20,435.0092597982796,transition,0.00015424116264530218,2.379033625417456e-08
15,20,438.3964233822635,transition,0.00016522439716574127,2.7299101418782613e-08
16,21,446.3763199658146,transition,7.297749475306843e-05,5.32571474043413e-09
17,21,458.1680027844744,transition,0.0001188479523682708,1.4124835782130766e-08
18,21,449.62252502855506,transition,8.561850371120554e-05,7.330528177745716e-09
19,18,391.02106941262457,transition,0.00033295937096780803,1.1086194271527841e-07
20,18,385.6597161682271,transition,0.00021118352452562038,4.4598481031063303e-08
21,12,253.55568149045956,transition,0.00068010846003051,4.625475174050718e-07
22,11,239.64803465739763,transition,0.0005102480139319767,2.6035303572152667e-07
23,12,238.65381107275525,transition,0.0006545066445013528,4.283789476964202e-07
24,11,215.53504734180115,transition,0.0013911954764861355,1.9354248537954855e-06
25,10,217.5012225556982,transition,0.000426179742549963,1.8162917295995272e-07
26,11,224.93765274183693,transition,0.00045053462534789076,2.0298144863736428e-07
27,21,460.82458371103155,transition,0.00014116265903748297,1.992689630653267e-08
28,21,459.8014009060928,transition,9.952061731038244e-05,9.904353269839593e-09
29,21,450.92928321989325,transition,7.721982724951856e-05,5.962901720445488e-09
30,11,211.89698742615428,transition,0.0007886154555356704,6.219143367097329e-07
31,10,196.38979467172095,transition,0.001152580016305053,1.3284406939857564e-06
32,9,195.36759530715372,transition,0.0008550577537734816,7.311237622881518e-07
33,10,213.4689619178194,transition,0.0003114178365112849,9.698106889736938e-08
34,22,481.71617814609726,transition,0.00016602439060890093,2.7564098277056913e-08
35,22,474.88384144188996,transition,4.383184470210065e-05,1.9212306099890692e-09
36,11,218.11501008913706,transition,0.0009079015190725332,8.242851683342134e-07
37,23,504.52088377606094,transition,0.00014112035142386815,1.9914953585996046e-08
38,19,413.871328680247,transition,0.000316613800007069,1.0024429835491627e-07
39,22,482.9316681520738,transition,0.00014116378371073919,1.9927213831532352e-08
40,22,471.5215088989586,transition,0.00010909687089945623,1.190212724005262e-08
41,11,215.42313370782745,transition,0.00019745016877352855,3.898656914869491e-08
42,10,198.4369214581485,transition,0.0028044090323082445,7.864710020492065e-06
43,11,222.11178057308143,transition,0.0011002092215373627,1.2104603311558495e-06
44,12,239.38374467880135,transition,0.00022365689847289306,5.0022408234513996e-08
45,12,234.251910883412,transition,0.0012941493775751227,1.6748226114780775e-06
46,13,262.9529636170626,transition,0.0005283312653645233,2.791339259616783e-07
47,14,286.77401649018276,transition,0.00021780204689550952,4.743773163187373e-08
48,14,277.0671394003205,transition,0.00044241541114925194,1.9573139602236164e-07
49,14,281.9070342119611,transition,0.00034247219887903886,1.1728720700504394e-07
50,14,284.70335961853976,transition,0.0007874296864723348,6.200455111379194e-07
51,23,503.28314036616075,transition,0.0001359924595770672,1.8493949061820253e-08
52,23,506.75258560129174,transition,4.846284430491059e-05,2.3486472781220047e-09
53,24,516.0690530591594,transition,9.475102002638192e-05,8.977755796039827e-09
54,24,525.8830544501371,transition,0.00011258999826433943,1.2676507709163955e-08
55,24,527.7407307470618,transition,0.00011099996748049132,1.2320992780670132e-08
56,10,196.94987026791566,transition,0.00030778826684763755,9.473361720907254e-08
57,10,188.672340960881,transition,0.0032332192391503717,1.0453706648412108e-05
58,9,176.78591842210716,transition,0.007651908885036937,5.855170958490722e-05
59,8,172.8571825108199,transition,0.0013226696488295483,1.7494549999348807e-06
60,15,310.4693104772338,transition,0.0001644870986282276,2.7056005615132273e-08
61,15,293.9971809990786,transition,0.0009401961226143089,8.839687489789806e-07
62,15,296.79350640565724,transition,0.00021309322392411571,4.540872208237332e-08
63,20,435.9208484869197,transition,0.00024990788273001723,6.245394985060004e-08
64,20,430.6550375273261,transition,7.888069398648494e-05,6.222163883789481e-09
65,25,551.0671922259154,transition,4.9726404666576735e-05,2.4727153210641447e-09
66,25,549.211764508785,transition,0.00016568543257936154,2.745166256901016e-08
67,26,574.244246791233,transition,3.41240523330964e-05,1.164450947631902e-09
68,26,561.5359548350198,transition,7.323006383152237e-05,5.362642248768841e-09
69,26,575.3419982444086,transition,4.38828065631654e-05,1.9257007118601924e-09
70,24,529.1438314749976,transition,9.394456814891002e-05,8.825581884685199e-09
71,24,530.0697503666088,transition,5.826098396367832e-05,3.3943422524159824e-09
72,21,457.7774949390118,transition,0.00017321424839428703,3.000317584679777e-08
73,21,441.7262859819902,transition,0.00015497035394097168,2.4015810600590035e-08
74,25,548.9597109774048,transition,4.4132200762563926e-05,1.947651144147248e-09
75,25,540.3951595789601,transition,3.43897297554619e-05,1.1826535126537017e-09
76,25,551.3837360933971,transition,7.317243216988433e-05,5.354204829656324e-09
77,18,386.6534846440155,transition,0.0001759151451910999,3.094613830760576e-08
78,27,596.8172305258508,transition,6.452289124417417e-05,4.1632034945075275e-09
79,27,587.1311603060219,transition,4.866014464077273e-05,2.367809676460923e-09
80,27,586.3216980845206,transition,8.77749931323224e-05,7.704449419379244e-09
81,27,596.8053261642282,transition,4.514931355534082e-05,2.0384605145184824e-09
82,11,217.36871767672747,transition,0.0011673417134671594,1.3626866760004437e-06
83,11,209.6572526226716,transition,0.0016150569055122688,2.6084088080428654e-06
