upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class
0,1,306.9500180518242,317.6412268914049,14,15,1.2419537032380828e-07,6.81250727207447e-08,0.5485314995488613,-0.2607984279115955,"[0, 1]","[0, 2]","[2, 3]","[2, 3]",2.418659204525966,3.424481581403718,True,transition
2,0,306.43189728914194,306.9500180518242,14,14,2.6910209518975056e-09,1.2419537032380828e-07,46.15176639046049,1.664188327657689,"[1, 2]","[0, 1]","[3, 3]","[2, 3]",2.453198893153857,2.418659204525966,True,transition
3,0,284.49605663170087,306.9500180518242,13,14,7.213552604747021e-08,1.2419537032380828e-07,1.7216949418526326,0.23595620355983257,"[1, 3]","[0, 1]","[3, 2]","[2, 3]",3.7228801202257067,2.418659204525966,True,transition
2,1,306.43189728914194,317.6412268914049,14,15,2.6910209518975056e-09,6.81250727207447e-08,25.315697624988026,1.4033898997460934,"[1, 2]","[0, 2]","[3, 3]","[2, 3]",2.453198893153857,3.424481581403718,True,transition
1,4,317.6412268914049,327.56221816501585,15,15,6.81250727207447e-08,6.026036231048288e-08,0.8845548328072912,-0.05327524037152597,"[0, 2]","[2, 4]","[2, 3]","[3, 2]",3.424481581403718,2.9860014002403688,True,transition
3,2,284.49605663170087,306.43189728914194,13,14,7.213552604747021e-08,2.6910209518975056e-09,0.03730507143077637,-1.4282321240978564,"[1, 3]","[1, 2]","[3, 2]","[3, 3]",3.7228801202257067,2.453198893153857,True,transition
2,4,306.43189728914194,327.56221816501585,14,15,2.6910209518975056e-09,6.026036231048288e-08,22.393122680071222,1.3501146593745674,"[1, 2]","[2, 4]","[3, 3]","[3, 2]",2.453198893153857,2.9860014002403688,True,transition
5,3,261.0897739800745,284.49605663170087,12,13,2.134637847788117e-07,7.213552604747021e-08,0.3379286379758331,-0.4711750021053693,"[3, 11]","[1, 3]","[2, 3]","[3, 2]",3.155795655823006,3.7228801202257067,True,transition
4,6,327.56221816501585,348.38299567029594,15,16,6.026036231048288e-08,1.9088713865413848e-07,3.1677064547109732,0.5007449295443718,"[2, 4]","[4, 5]","[3, 2]","[2, 4]",2.9860014002403688,2.491017479293401,True,transition
21,5,253.55568149045956,261.0897739800745,12,12,4.625475174050718e-07,2.134637847788117e-07,0.4614959041967416,-0.335832149010003,"[11, 12]","[3, 11]","[3, 2]","[2, 3]",2.0278770443448515,3.155795655823006,True,transition
22,5,239.64803465739763,261.0897739800745,11,12,2.6035303572152667e-07,2.134637847788117e-07,0.8199012705468598,-0.08623844058967386,"[11, 14]","[3, 11]","[3, 3]","[2, 3]",1.7885237686800366,3.155795655823006,True,transition
6,7,348.38299567029594,370.9655045694788,16,17,1.9088713865413848e-07,8.09251686075586e-08,0.4239424886250927,-0.37269305512154577,"[4, 5]","[5, 6]","[2, 4]","[4, 4]",2.491017479293401,3.1001357411092307,True,transition
6,8,348.38299567029594,369.70042718525383,16,17,1.9088713865413848e-07,3.766598916787667e-08,0.1973207280146952,-0.7048272908777374,"[4, 5]","[5, 10]","[2, 4]","[4, 4]",2.491017479293401,3.1963251033621454,True,transition
6,9,348.38299567029594,365.61598870759553,16,17,1.9088713865413848e-07,3.154402188813481e-09,0.016524959256311283,-1.7818596026308846,"[4, 5]","[5, 39]","[2, 4]","[4, 3]",2.491017479293401,2.5535227214779432,True,transition
8,7,369.70042718525383,370.9655045694788,17,17,3.766598916787667e-08,8.09251686075586e-08,2.1484944480517028,0.3321342357561916,"[5, 10]","[5, 6]","[4, 4]","[4, 4]",3.1963251033621454,3.1001357411092307,True,transition
9,7,365.61598870759553,370.9655045694788,17,17,3.154402188813481e-09,8.09251686075586e-08,25.654676786157808,1.409166547509339,"[5, 39]","[5, 6]","[4, 3]","[4, 4]",2.5535227214779432,3.1001357411092307,True,transition
7,10,370.9655045694788,393.875994790595,17,18,8.09251686075586e-08,4.335799514892132e-08,0.5357788670071623,-0.2710144204836484,"[5, 6]","[6, 7]","[4, 4]","[4, 2]",3.1001357411092307,3.415378888241367,True,transition
