metric,value
launch_hotspot,229
maximum_corrected_geodesic_nm,810.0079930589624
zero_distance_hotspots,1
strongest_ratio,72848.72516757641
strongest_delta_log10,4.8624219561398965
strongest_upstream,176
strongest_downstream,185
strongest_upstream_distance_nm,172.604757848308
strongest_downstream_distance_nm,184.86173737080892
strongest_downstream_position_nm,"[31.968729426319236, -222.40812343030217]"
strongest_gaps_nm,"[np.float64(3.163832208166653), np.float64(1.0471677285404368)]"
strongest_coordination,"[[4, 3], [2, 3]]"
geometric_remote_hotspot,110
plasmon_remote_hotspot,110
plasmon_remote_particles,"[57, 77]"
plasmon_remote_position_nm,"[338.23713994233503, 22.574023027812753]"
plasmon_remote_gap_nm,2.8110110313244405
plasmon_remote_euclidean_nm,516.3056947029404
plasmon_remote_geodesic_nm,638.106455608958
plasmon_remote_steps,29
plasmon_remote_M2_inc,2.8673429278198163e-77
plasmon_remote_M2_scat,4.4969499985767445e-05
plasmon_remote_M2_total,4.4969499985767445e-05
plasmon_remote_dominance,1.568333510075127e+72
plasmon_remote_dominance_ge_1000,True
plasmon_remote_M4,2.0222559289699383e-09
plasmon_remote_source_M4_ratio,1.6005840494968158e-11
plasmon_remote_coordination,"[2, 2]"
poynting_map,not generated: magnetic-field reconstruction is not implemented
any_events,201
any_probability,0.42948717948717946
any_remote_events,17
any_remote_probability,0.38636363636363635
2x_events,130
2x_probability,0.2777777777777778
2x_remote_events,10
2x_remote_probability,0.22727272727272727
10x_events,47
10x_probability,0.10042735042735043
10x_remote_events,5
10x_remote_probability,0.11363636363636363
100x_events,11
100x_probability,0.023504273504273504
100x_remote_events,1
100x_remote_probability,0.022727272727272728
