upstream_hotspot,downstream_hotspot,upstream_geodesic_nm,downstream_geodesic_nm,upstream_steps,downstream_steps,upstream_M4,downstream_M4,ratio,delta_log10_M4,upstream_particles,downstream_particles,upstream_coordination,downstream_coordination,upstream_gap_nm,downstream_gap_nm,near_branch,downstream_class,Gamma_DE_PDA,Gamma_DE_corrected
0,1,306.9500180518242,317.6412268914049,14,15,1.2419537032380828e-07,6.81250727207447e-08,0.5485314995488613,-0.2607984279115955,"[0, 1]","[0, 2]","[2, 3]","[2, 3]",2.418659204525966,3.424481581403718,True,transition,0.5485314995488613,0.2738252038364193
2,0,306.43189728914194,306.9500180518242,14,14,2.6910209518975056e-09,1.2419537032380828e-07,46.15176639046049,1.664188327657689,"[1, 2]","[0, 1]","[3, 3]","[2, 3]",2.453198893153857,2.418659204525966,True,transition,46.15176639046049,56.43809777000465
3,0,284.49605663170087,306.9500180518242,13,14,7.213552604747022e-08,1.2419537032380828e-07,1.7216949418526326,0.2359562035598325,"[1, 3]","[0, 1]","[3, 2]","[2, 3]",3.7228801202257062,2.418659204525966,True,transition,1.7216949418526322,4.056702315414942
2,1,306.43189728914194,317.6412268914049,14,15,2.6910209518975056e-09,6.81250727207447e-08,25.315697624988022,1.4033898997460934,"[1, 2]","[0, 2]","[3, 3]","[2, 3]",2.453198893153857,3.424481581403718,True,transition,25.315697624988026,15.454173626011283
1,4,317.6412268914049,327.56221816501585,15,15,6.81250727207447e-08,6.026036231048288e-08,0.8845548328072912,-0.0532752403715259,"[0, 2]","[2, 4]","[2, 3]","[3, 2]",3.424481581403718,2.9860014002403688,True,transition,0.8845548328072912,1.0817250960819436
3,2,284.49605663170087,306.43189728914194,13,14,7.213552604747022e-08,2.6910209518975056e-09,0.0373050714307763,-1.4282321240978564,"[1, 3]","[1, 2]","[3, 2]","[3, 3]",3.7228801202257062,2.453198893153857,True,transition,0.03730507143077636,0.0718787924417072
2,4,306.43189728914194,327.56221816501585,14,15,2.6910209518975056e-09,6.026036231048288e-08,22.393122680071222,1.3501146593745674,"[1, 2]","[2, 4]","[3, 3]","[3, 2]",2.453198893153857,2.9860014002403688,True,transition,22.393122680071222,16.717167450464093
5,3,261.0897739800745,284.49605663170087,12,13,2.134637847788117e-07,7.213552604747022e-08,0.3379286379758331,-0.4711750021053693,"[3, 11]","[1, 3]","[2, 3]","[3, 2]",3.155795655823006,3.7228801202257062,True,transition,0.33792863797583317,0.25335135589384433
4,6,327.56221816501585,348.38299567029594,15,16,6.026036231048288e-08,1.9088713865413848e-07,3.167706454710973,0.5007449295443718,"[2, 4]","[4, 5]","[3, 2]","[2, 4]",2.9860014002403688,2.491017479293401,True,transition,3.1677064547109732,4.766065047330277
21,5,253.5556814904596,261.0897739800745,12,12,4.625475174050718e-07,2.134637847788117e-07,0.4614959041967416,-0.335832149010003,"[11, 12]","[3, 11]","[3, 2]","[2, 3]",2.0278770443448515,3.155795655823006,True,transition,0.4614959041967416,0.17569338100301507
22,5,239.64803465739763,261.0897739800745,11,12,2.603530357215267e-07,2.134637847788117e-07,0.8199012705468598,-0.0862384405896738,"[11, 14]","[3, 11]","[3, 3]","[2, 3]",1.7885237686800366,3.155795655823006,True,transition,0.8199012705468597,0.21874602324255946
6,7,348.38299567029594,370.9655045694788,16,17,1.9088713865413848e-07,8.09251686075586e-08,0.4239424886250927,-0.3726930551215457,"[4, 5]","[5, 6]","[2, 4]","[4, 4]",2.491017479293401,3.1001357411092307,True,transition,0.4239424886250927,0.2713385461474324
6,8,348.38299567029594,369.7004271852538,16,17,1.9088713865413848e-07,3.766598916787667e-08,0.1973207280146952,-0.7048272908777374,"[4, 5]","[5, 10]","[2, 4]","[4, 4]",2.491017479293401,3.1963251033621454,True,transition,0.1973207280146952,0.11748278974834774
6,9,348.38299567029594,365.61598870759553,16,17,1.9088713865413848e-07,3.154402188813481e-09,0.0165249592563112,-1.7818596026308846,"[4, 5]","[5, 39]","[2, 4]","[4, 3]",2.491017479293401,2.5535227214779432,True,transition,0.016524959256311283,0.013132057608400386
8,7,369.7004271852538,370.9655045694788,17,17,3.766598916787667e-08,8.09251686075586e-08,2.1484944480517028,0.3321342357561916,"[5, 10]","[5, 6]","[4, 4]","[4, 4]",3.1963251033621454,3.1001357411092307,True,transition,2.1484944480517028,2.30960251053494
9,7,365.61598870759553,370.9655045694788,17,17,3.154402188813481e-09,8.09251686075586e-08,25.654676786157808,1.409166547509339,"[5, 39]","[5, 6]","[4, 3]","[4, 4]",2.5535227214779432,3.1001357411092307,True,transition,25.654676786157808,20.662302453947593
7,10,370.9655045694788,393.875994790595,17,18,8.09251686075586e-08,4.335799514892132e-08,0.5357788670071623,-0.2710144204836484,"[5, 6]","[6, 7]","[4, 4]","[4, 2]",3.1001357411092307,3.415378888241367,True,transition,0.5357788670071623,0.4521290142779475
7,11,370.9655045694788,381.25049505580847,17,18,8.09251686075586e-08,1.1698858444745896e-08,0.1445639057173764,-0.8399401268514513,"[5, 6]","[6, 10]","[4, 4]","[4, 4]",3.1001357411092307,2.378620962607908,True,transition,0.14456390571737648,0.24470639913652503
7,12,370.9655045694788,377.1660565781502,17,18,8.09251686075586e-08,8.158231395835813e-09,0.1008120407558077,-0.9964875936691736,"[5, 6]","[6, 39]","[4, 4]","[4, 3]",3.1001357411092307,4.3582981106012895,True,transition,0.10081204075580777,0.056301862350032914
9,8,365.61598870759553,369.7004271852538,17,17,3.154402188813481e-09,3.766598916787667e-08,11.940769411539312,1.0770323117531473,"[5, 39]","[5, 10]","[4, 3]","[4, 4]",2.5535227214779432,3.1963251033621454,True,transition,11.940769411539312,8.94625908990802
8,11,369.7004271852538,381.25049505580847,17,18,3.766598916787667e-08,1.1698858444745896e-08,0.3105947488224531,-0.5078058910952598,"[5, 10]","[6, 10]","[4, 4]","[4, 4]",3.1963251033621454,2.378620962607908,True,transition,0.31059474882245314,0.5651745137896832
8,19,369.7004271852538,391.02106941262457,17,18,3.766598916787667e-08,1.1086194271527841e-07,2.943290357281436,0.4688331076126782,"[5, 10]","[10, 21]","[4, 4]","[4, 2]",3.1963251033621454,2.785116746716497,True,transition,2.9432903572814357,3.926948041894916
8,20,369.7004271852538,385.6597161682271,17,18,3.766598916787667e-08,4.45984810310633e-08,1.1840517670275068,0.07337069026099,"[5, 10]","[10, 185]","[4, 4]","[4, 1]",3.1963251033621454,2.662957410937352,True,transition,1.1840517670275066,1.6886436101940134
9,12,365.61598870759553,377.1660565781502,17,18,3.154402188813481e-09,8.158231395835813e-09,2.586300321743217,0.4126789538401654,"[5, 39]","[6, 39]","[4, 3]","[4, 3]",2.5535227214779432,4.3582981106012895,True,transition,2.5863003217432166,1.1633261085969047
9,77,365.61598870759553,386.6534846440155,17,18,3.154402188813481e-09,3.094613830760576e-08,9.810460573908635,0.9916893967797092,"[5, 39]","[39, 73]","[4, 3]","[3, 3]",2.5535227214779432,1.657562869629853,True,transition,9.810460573908635,35.60206854493866
11,10,381.25049505580847,393.875994790595,18,18,1.1698858444745896e-08,4.335799514892132e-08,3.706173158150652,0.5689257063678029,"[6, 10]","[6, 7]","[4, 4]","[4, 2]",2.378620962607908,3.415378888241367,True,transition,3.706173158150652,1.847638704477436
12,10,377.1660565781502,393.875994790595,18,18,8.158231395835813e-09,4.335799514892132e-08,5.314631694689665,0.7254731731855251,"[6, 39]","[6, 7]","[4, 3]","[4, 2]",4.3582981106012895,3.415378888241367,True,transition,5.314631694689665,8.030445093752448
10,13,393.875994790595,416.2813038933766,18,19,4.335799514892132e-08,5.786328978907377e-08,1.3345471715269868,0.1253339291702175,"[6, 7]","[7, 8]","[4, 2]","[2, 3]",3.415378888241367,1.584632114402151,True,transition,1.334547171526987,7.915399066177415
12,11,377.1660565781502,381.25049505580847,18,18,8.158231395835813e-09,1.1698858444745896e-08,1.4339944379019842,0.1565474668177222,"[6, 39]","[6, 10]","[4, 3]","[4, 4]",4.3582981106012895,2.378620962607908,True,transition,1.4339944379019842,4.346328681192941
11,19,381.25049505580847,391.02106941262457,18,18,1.1698858444745896e-08,1.1086194271527841e-07,9.476304311132845,0.9766389987079378,"[6, 10]","[10, 21]","[4, 4]","[4, 2]",2.378620962607908,2.785116746716497,True,transition,9.476304311132843,6.948204397193041
11,20,381.25049505580847,385.6597161682271,18,18,1.1698858444745896e-08,4.45984810310633e-08,3.812207938210676,0.5811765813562497,"[6, 10]","[10, 185]","[4, 4]","[4, 1]",2.378620962607908,2.662957410937352,True,transition,3.8122079382106753,2.9878268906202012
12,77,377.1660565781502,386.6534846440155,18,18,8.158231395835813e-09,3.094613830760576e-08,3.7932410599926754,0.5790104429395438,"[6, 39]","[39, 73]","[4, 3]","[3, 3]",4.3582981106012895,1.657562869629853,True,transition,3.7932410599926754,30.60368737694588
13,14,416.2813038933766,435.0092597982796,19,20,5.786328978907377e-08,2.379033625417456e-08,0.4111473153513448,-0.3860025411871463,"[7, 8]","[8, 9]","[2, 3]","[3, 4]",1.584632114402151,3.543836123631557,True,transition,0.4111473153513448,0.06511444388886867
13,15,416.2813038933766,438.3964233822635,19,20,5.786328978907377e-08,2.7299101418782613e-08,0.4717861967111566,-0.3262547696392127,"[7, 8]","[8, 15]","[2, 3]","[3, 5]",1.584632114402151,2.7341203350701093,True,transition,0.47178619671115657,0.12106149195256193
14,15,435.0092597982796,438.3964233822635,20,20,2.379033625417456e-08,2.7299101418782613e-08,1.147486993337152,0.0597477715479336,"[8, 9]","[8, 15]","[3, 4]","[3, 5]",3.543836123631557,2.7341203350701093,True,transition,1.147486993337152,1.8592110248100795
14,16,435.0092597982796,446.3763199658146,20,21,2.379033625417456e-08,5.32571474043413e-09,0.2238604231371303,-0.6500226796787743,"[8, 9]","[9, 15]","[3, 4]","[4, 5]",3.543836123631557,3.370293611388416,True,transition,0.22386042313713037,0.2427419109806364
14,17,435.0092597982796,458.1680027844744,20,21,2.379033625417456e-08,1.4124835782130766e-08,0.5937215695995991,-0.2264171730919278,"[8, 9]","[9, 18]","[3, 4]","[4, 3]",3.543836123631557,4.341560549656062,True,transition,0.5937215695995991,0.4180824671051685
14,18,435.0092597982796,449.6225250285551,20,21,2.379033625417456e-08,7.330528177745716e-09,0.30813049884738,-0.5112653129599853,"[8, 9]","[9, 124]","[3, 4]","[4, 3]",3.543836123631557,3.1825502846020264,True,transition,0.30813049884738,0.3517916722350412
15,16,438.3964233822635,446.3763199658146,20,21,2.7299101418782613e-08,5.32571474043413e-09,0.1950875473421215,-0.7097704512267079,"[8, 15]","[9, 15]","[3, 5]","[4, 5]",2.7341203350701093,3.370293611388416,True,transition,0.19508754734212155,0.1305617854785649
15,27,438.3964233822635,460.8245837110316,20,21,2.7299101418782613e-08,1.992689630653267e-08,0.7299469678816006,-0.1367086911028437,"[8, 15]","[15, 22]","[3, 5]","[5, 4]",2.7341203350701093,3.4402159857315238,True,transition,0.7299469678816006,0.4773745307441795
15,28,438.3964233822635,459.8014009060928,20,21,2.7299101418782613e-08,9.904353269839593e-09,0.362808764944369,-0.4403222295474642,"[8, 15]","[15, 56]","[3, 5]","[5, 3]",2.7341203350701093,1.8859859352315809,True,transition,0.36280876494436903,0.8790806478923217
15,29,438.3964233822635,450.9292832198933,20,21,2.7299101418782613e-08,5.962901720445488e-09,0.2184284980289801,-0.6606907005400006,"[8, 15]","[15, 110]","[3, 5]","[5, 2]",2.7341203350701093,5.436158091802639,True,transition,0.21842849802898018,0.0718203715683422
16,17,446.3763199658146,458.1680027844744,21,21,5.32571474043413e-09,1.4124835782130766e-08,2.6521953334998503,0.4236055065868464,"[9, 15]","[9, 18]","[4, 5]","[4, 3]",3.370293611388416,4.341560549656062,True,transition,2.6521953334998503,1.7223332609362174
16,18,446.3763199658146,449.6225250285551,21,21,5.32571474043413e-09,7.330528177745716e-09,1.3764402591994933,0.1387573667187888,"[9, 15]","[9, 124]","[4, 5]","[4, 3]",3.370293611388416,3.1825502846020264,True,transition,1.3764402591994933,1.4492415867283162
16,27,446.3763199658146,460.8245837110316,21,21,5.32571474043413e-09,1.992689630653267e-08,3.741637935513668,0.5730617601238642,"[9, 15]","[15, 22]","[4, 5]","[5, 4]",3.370293611388416,3.4402159857315238,True,transition,3.741637935513668,3.656311293495239
16,28,446.3763199658146,459.8014009060928,21,21,5.32571474043413e-09,9.904353269839593e-09,1.8597228264299093,0.2694482216792437,"[9, 15]","[15, 56]","[4, 5]","[5, 3]",3.370293611388416,1.8859859352315809,True,transition,1.8597228264299095,6.73306239394716
16,29,446.3763199658146,450.9292832198933,21,21,5.32571474043413e-09,5.962901720445488e-09,1.1196434677910323,0.0490797506867073,"[9, 15]","[15, 110]","[4, 5]","[5, 2]",3.370293611388416,5.436158091802639,True,transition,1.1196434677910325,0.5500872349829604
18,17,449.6225250285551,458.1680027844744,21,21,7.330528177745716e-09,1.4124835782130766e-08,1.9268510316912029,0.2848481398680575,"[9, 124]","[9, 18]","[4, 3]","[4, 3]",3.1825502846020264,4.341560549656062,True,transition,1.9268510316912029,1.1884376467724815
17,34,458.1680027844744,481.71617814609726,21,22,1.4124835782130766e-08,2.7564098277056916e-08,1.9514632737839024,0.2903603823438472,"[9, 18]","[18, 20]","[4, 3]","[3, 2]",4.341560549656062,2.755746422771644,True,transition,1.9514632737839026,4.419611213332716
17,35,458.1680027844744,474.88384144189,21,22,1.4124835782130766e-08,1.921230609989069e-09,0.1360179077210657,-0.8664039099205436,"[9, 18]","[18, 22]","[4, 3]","[3, 4]",4.341560549656062,4.971037679916861,True,transition,0.13601790772106567,0.10838859579471036
64,18,430.6550375273261,449.6225250285551,20,21,6.222163883789481e-09,7.330528177745716e-09,1.178131645944563,0.0711938217862877,"[33, 124]","[9, 124]","[3, 3]","[4, 3]",3.3924663837018194,3.1825502846020264,True,transition,1.178131645944563,1.2630457614910588
73,18,441.7262859819902,449.6225250285551,21,21,2.4015810600590035e-08,7.330528177745716e-09,0.3052375911711102,-0.5153619824050407,"[37, 124]","[9, 124]","[3, 3]","[4, 3]",3.8526132212191015,3.1825502846020264,True,transition,0.3052375911711102,0.40860114643694617
20,19,385.6597161682271,391.02106941262457,18,18,4.45984810310633e-08,1.1086194271527841e-07,2.4857784425003606,0.3954624173516882,"[10, 185]","[10, 21]","[4, 1]","[4, 2]",2.662957410937352,2.785116746716497,True,transition,2.4857784425003606,2.3255043386234333
19,38,391.02106941262457,413.871328680247,18,19,1.1086194271527841e-07,1.0024429835491628e-07,0.9042264270288772,-0.0437228043741674,"[10, 21]","[21, 33]","[4, 2]","[2, 3]",2.785116746716497,2.946444660701175,True,transition,0.9042264270288775,0.7950429279520479
22,21,239.64803465739763,253.5556814904596,11,12,2.603530357215267e-07,4.625475174050718e-07,1.7766165703549244,0.2495937084203291,"[11, 14]","[11, 12]","[3, 3]","[3, 2]",1.7885237686800366,2.0278770443448515,True,transition,1.776616570354924,1.245044190018778
23,21,238.65381107275525,253.5556814904596,12,12,4.283789476964202e-07,4.625475174050718e-07,1.0797624857439678,0.0333282346768005,"[12, 13]","[11, 12]","[2, 2]","[3, 2]",4.080662243492832,2.0278770443448515,True,transition,1.0797624857439678,4.495692015013478
25,22,217.5012225556982,239.64803465739763,10,11,1.8162917295995274e-07,2.603530357215267e-07,1.4334318186810866,0.1563770405160008,"[14, 17]","[11, 14]","[3, 3]","[3, 3]",2.937381648035064,1.7885237686800366,True,transition,1.4334318186810868,4.738228486770499
26,22,224.93765274183693,239.64803465739763,11,11,2.029814486373643e-07,2.603530357215267e-07,1.2826444853423988,0.1081062982692734,"[14, 186]","[11, 14]","[3, 2]","[3, 3]",3.608052809367216,1.7885237686800366,True,transition,1.2826444853423988,6.022254807023482
24,23,215.53504734180115,238.65381107275525,11,12,1.935424853795485e-06,4.283789476964202e-07,0.2213358719954138,-0.6549481940838281,"[13, 16]","[12, 13]","[2, 3]","[2, 2]",2.1651695351515023,4.080662243492832,True,transition,0.22133587199541394,0.06059597596256162
30,24,211.89698742615428,215.53504734180115,11,11,6.219143367097329e-07,1.935424853795485e-06,3.112044118543628,0.4930457452277511,"[16, 19]","[13, 16]","[3, 2]","[2, 3]",3.22466616508412,2.1651695351515023,True,transition,3.112044118543627,7.462016107226406
31,24,196.38979467172092,215.53504734180115,10,11,1.3284406939857564e-06,1.935424853795485e-06,1.4569147592043257,0.1634341429229482,"[16, 65]","[13, 16]","[3, 2]","[2, 3]",4.066998363042909,2.1651695351515023,True,transition,1.4569147592043252,5.377603407940539
25,26,217.5012225556982,224.93765274183693,10,11,1.8162917295995274e-07,2.029814486373643e-07,1.1175597252877405,0.0482707422467273,"[14, 17]","[14, 186]","[3, 3]","[3, 2]",2.937381648035064,3.608052809367216,True,transition,1.1175597252877405,0.7867864510223842
32,25,195.3675953071537,217.5012225556982,9,10,7.311237622881518e-07,1.8162917295995274e-07,0.2484246612249605,-0.6048052937519189,"[17, 31]","[14, 17]","[3, 2]","[3, 3]",1.823449260077684,2.937381648035064,True,transition,0.2484246612249606,0.07879886872515166
33,25,213.4689619178194,217.5012225556982,10,10,9.698106889736938e-08,1.8162917295995274e-07,1.87283121360688,0.2724986389330481,"[17, 186]","[14, 17]","[3, 2]","[3, 3]",4.346081354050835,2.937381648035064,True,transition,1.8728312136068799,3.6561168304732754
33,26,213.4689619178194,224.93765274183693,10,11,9.698106889736938e-08,2.029814486373643e-07,2.0930007365888104,0.3207693811797756,"[17, 186]","[14, 186]","[3, 2]","[3, 2]",4.346081354050835,3.608052809367216,True,transition,2.0930007365888104,2.8765831855712762
28,27,459.8014009060928,460.8245837110316,21,21,9.904353269839593e-09,1.992689630653267e-08,2.0119331130093463,0.3036135384446204,"[15, 56]","[15, 22]","[5, 3]","[5, 4]",1.8859859352315809,3.4402159857315238,True,transition,2.0119331130093463,0.5430383797990886
29,27,450.9292832198933,460.8245837110316,21,21,5.962901720445488e-09,1.992689630653267e-08,3.341811963495507,0.5239820094371569,"[15, 110]","[15, 22]","[5, 2]","[5, 4]",5.436158091802639,3.4402159857315238,True,transition,3.341811963495507,6.646784475208731
27,35,460.8245837110316,474.88384144189,21,22,1.992689630653267e-08,1.921230609989069e-09,0.0964139412598453,-1.0158601634575617,"[15, 22]","[18, 22]","[5, 4]","[3, 4]",3.4402159857315238,4.971037679916861,True,transition,0.09641394125984529,0.0510572729339311
27,39,460.8245837110316,482.9316681520738,21,22,1.992689630653267e-08,1.9927213831532352e-08,1.0000159344935005,6.92020746431811e-06,"[15, 22]","[22, 27]","[5, 4]","[4, 3]",3.4402159857315238,2.083208790941619,True,transition,1.0000159344935005,2.7861019853709155
27,40,460.8245837110316,471.5215088989586,21,22,1.992689630653267e-08,1.1902127240052622e-08,0.5972895656686247,-0.2238150720805196,"[15, 22]","[22, 56]","[5, 4]","[4, 3]",3.4402159857315238,2.773573073633745,True,transition,0.5972895656686248,0.8834418901560207
29,28,450.9292832198933,459.8014009060928,21,21,5.962901720445488e-09,9.904353269839593e-09,1.6609955578975464,0.2203684709925363,"[15, 110]","[15, 56]","[5, 2]","[5, 3]",5.436158091802639,1.8859859352315809,True,transition,1.6609955578975464,12.23999025201107
28,40,459.8014009060928,471.5215088989586,21,22,9.904353269839593e-09,1.1902127240052622e-08,1.2017066552236764,0.0797984663641007,"[15, 56]","[22, 56]","[5, 3]","[4, 3]",1.8859859352315809,2.773573073633745,True,transition,1.2017066552236766,0.4797428526769699
28,109,459.8014009060928,482.15450600985736,21,22,9.904353269839593e-09,4.640432727101723e-09,0.4685245568968763,-0.3292676413924048,"[15, 56]","[56, 102]","[5, 3]","[3, 3]",1.8859859352315809,3.021949395935984,True,transition,0.4685245568968763,0.14981716657638786
