proxy,weighting,bin_min_nm,bin_max_nm,seed_count,hotspot_count,Q05_log10_M4,Q25_log10_M4,Q50_log10_M4,Q75_log10_M4,Q95_log10_M4
CDA,pooled_hotspot,0.0,100.0,10,86,-3.6705024504098716,-1.490825357151379,0.5327244228587382,1.71258411296147,2.6730024502971217
CDA,realization_balanced,0.0,100.0,10,86,-2.3325185975759273,-1.013477044184136,0.46512099578556254,1.7152820685497787,2.4012705979614037
CDA,pooled_hotspot,100.0,200.0,10,152,-7.555211514154351,-5.757462559057679,-4.905860088529177,-3.7841515888738693,-2.0412597071156235
CDA,realization_balanced,100.0,200.0,10,152,-6.880096789297478,-5.6746162570132395,-4.986513569681118,-4.049827576577827,-2.657715164364223
CDA,pooled_hotspot,200.0,300.0,10,312,-8.762803027047639,-7.431860054252182,-6.700367346809709,-6.0205821529364485,-4.637375194536047
CDA,realization_balanced,200.0,300.0,10,312,-8.727683908485323,-7.511378213155735,-6.804568505671432,-6.247611976793448,-4.336041935221279
CDA,pooled_hotspot,300.0,400.0,10,561,-10.113043446936317,-8.763360400947033,-8.01796889922938,-7.362930807555704,-6.206519473627507
CDA,realization_balanced,300.0,400.0,10,561,-9.720091803326627,-8.617647094214856,-8.045001260383046,-7.485419658393179,-6.584182545668236
CDA,pooled_hotspot,400.0,500.0,10,648,-11.009730598060186,-9.665878671774093,-8.913788847485474,-8.181355268554242,-6.569977859237866
CDA,realization_balanced,400.0,500.0,10,648,-10.470017940277671,-9.347619020200082,-8.887148585291605,-8.315604677744968,-7.058574263594861
CDA,pooled_hotspot,500.0,600.0,10,508,-11.162715535965795,-10.134989009085851,-9.526526371906868,-8.765294599360768,-7.698078069569818
CDA,realization_balanced,500.0,600.0,10,508,-10.584932218435984,-9.811488321399764,-9.458582033885637,-8.965745441278377,-8.212821736281638
CDA,pooled_hotspot,600.0,700.0,10,207,-11.734678203750804,-10.84255061978075,-10.292622264075844,-9.498177023594497,-8.605817415682361
CDA,realization_balanced,600.0,700.0,10,207,-11.01184244380239,-10.444979562802683,-10.143583259630496,-9.766702064677016,-9.070470015602265
CDA,pooled_hotspot,700.0,800.0,4,78,-12.766277157266137,-11.551495240028675,-11.212304336387472,-10.340230594646005,-8.736158491396978
CDA,realization_balanced,700.0,800.0,4,78,-12.42686479146819,-11.426807014796907,-10.918941830791326,-10.598651391625484,-9.227705359077017
CDA,pooled_hotspot,800.0,900.0,4,13,-12.134828356521368,-11.841615914588681,-11.587855349075081,-11.104587731692042,-10.064893371413977
CDA,realization_balanced,800.0,900.0,4,13,-11.65552882180874,-11.50432432325047,-11.35723664120442,-11.274843255016638,-11.189628726369452
FWcorr,pooled_hotspot,0.0,100.0,10,86,-3.4890019981220592,-0.8165383965332559,1.2574879270065265,2.583558645435539,3.6192953881543857
FWcorr,realization_balanced,0.0,100.0,10,86,-1.9942204003565416,-0.18720058124132835,1.1832324414802982,2.4754755047214996,3.30059741820955
FWcorr,pooled_hotspot,100.0,200.0,10,152,-6.936631285590814,-5.19339708557631,-4.092164806500499,-2.9979894986674465,-1.0820782691243964
FWcorr,realization_balanced,100.0,200.0,10,152,-6.328043365738748,-5.0114964050944995,-4.307807066241141,-3.2089516655830534,-1.7063246600878703
FWcorr,pooled_hotspot,200.0,300.0,10,312,-8.15982649493663,-6.833685368306175,-5.986127561423533,-5.130490367140156,-3.305817019012539
FWcorr,realization_balanced,200.0,300.0,10,312,-8.18259899458493,-6.915694716044055,-6.084994683405438,-5.289498209963069,-3.3580018939064464
FWcorr,pooled_hotspot,300.0,400.0,10,561,-9.543960741652754,-8.065307328684412,-7.331146837949742,-6.482443734872318,-5.1483017954474715
FWcorr,realization_balanced,300.0,400.0,10,561,-9.005589802590137,-7.937202755261914,-7.292641773881597,-6.583209536232273,-5.437162127173915
FWcorr,pooled_hotspot,400.0,500.0,10,648,-10.365267834806534,-9.038952278122842,-8.17663182853747,-7.253081835440727,-5.715994705828978
FWcorr,realization_balanced,400.0,500.0,10,648,-9.940867662565411,-8.746763647365222,-8.165935860033663,-7.457086476550114,-5.916208144328848
FWcorr,pooled_hotspot,500.0,600.0,10,508,-10.61846106218686,-9.501411446985042,-8.7246278553404,-7.908418993608289,-6.682855520969792
FWcorr,realization_balanced,500.0,600.0,10,508,-10.114818628782858,-9.209104446745528,-8.717913229271344,-8.074761727238037,-7.095383185675969
FWcorr,pooled_hotspot,600.0,700.0,10,207,-11.11725776202218,-10.176843739468914,-9.552808983012742,-8.756609011795094,-7.672485162141501
FWcorr,realization_balanced,600.0,700.0,10,207,-10.50349074923455,-9.885918803229547,-9.496698784966778,-8.971709233198352,-8.155899074243212
FWcorr,pooled_hotspot,700.0,800.0,4,78,-12.215826364420623,-10.965369479263682,-10.45446570413822,-9.529882241945923,-7.504770509587553
FWcorr,realization_balanced,700.0,800.0,4,78,-11.858806867096819,-10.873761591405469,-10.327957959104086,-9.845895681342395,-8.1158216858652
FWcorr,pooled_hotspot,800.0,900.0,4,13,-11.681534820805147,-11.384442578096028,-10.977928343364693,-9.955585326223554,-9.41167694586616
FWcorr,realization_balanced,800.0,900.0,4,13,-11.14903739721783,-11.003915699431216,-10.830425505406161,-10.638139720479677,-10.457668126389823
