seed,number_particles,hotspot_count,connected_component_count,largest_component_fraction,mean_coordination,coordination_distribution,mean_surface_gap_nm,minimum_surface_gap_nm,maximum_surface_gap_nm,aggregate_x_extent_nm,aggregate_y_extent_nm,source_hotspots,transition_hotspots,remote_hotspots,CDA_residual,matrix_condition_estimate,matrix_finite,dipoles_finite,hotspot_fields_finite
20260813,200,254,1,1.0,2.54,"[0, 19, 84, 70, 24, 3]",3.171086949744263,1.0471677285404368,5.833763039491924,574.3580043858962,505.44435476382523,30,193,31,5.6407139930086005e-16,,True,True,True
20365542,200,248,1,1.0,2.48,"[0, 22, 85, 70, 21, 2]",3.1374512930568708,1.0130830383783156,5.930115181805565,476.92103830128997,844.7582481869456,20,220,8,4.596636172970412e-16,,True,True,True
20470271,200,263,1,1.0,2.63,"[0, 25, 65, 77, 25, 8]",3.0932351791473915,1.0151528196302522,5.954806368962519,590.042051176393,463.3201348870714,24,223,16,8.627639466963804e-16,,True,True,True
20575000,200,251,1,1.0,2.51,"[0, 21, 79, 78, 21, 1]",3.143979846644702,1.0457626181046713,5.981365114950652,671.6343917517561,474.0129534443278,15,204,32,1.6079147592041754e-16,,True,True,True
20679729,200,254,1,1.0,2.54,"[0, 18, 90, 63, 24, 5]",3.2527729601493833,1.0139671301747946,5.9651603390318115,604.0719126145772,576.2451824741161,24,217,13,8.52909312419544e-16,,True,True,True
20784458,200,259,1,1.0,2.59,"[0, 22, 78, 66, 28, 6]",3.2944423484698007,1.0456622970492013,5.953179011594571,656.0868816194215,552.2043991927693,29,181,49,6.069486359616316e-16,,True,True,True
20889187,200,247,1,1.0,2.47,"[0, 26, 86, 61, 22, 5]",3.0916565067613098,1.0342249938444397,5.844813136217226,823.4944023933045,405.5480795458725,15,143,89,6.721978115862682e-16,,True,True,True
20993916,200,265,1,1.0,2.65,"[0, 18, 80, 63, 32, 7]",3.177463173678385,1.0473969273711674,5.749448472938969,596.4921829273701,567.6052752958822,13,209,43,6.4278491766858605e-16,,True,True,True
21098645,200,271,1,1.0,2.71,"[0, 21, 66, 67, 42, 4]",3.1093598204606097,1.0690707882181378,5.950124448647777,707.2441009521494,442.04195485620073,12,184,75,3.4999152789300485e-16,,True,True,True
21203374,200,253,1,1.0,2.53,"[0, 22, 81, 69, 25, 3]",3.1646037311233894,1.0254461084972633,5.990266946931307,772.5465678850458,398.1906777945562,14,181,58,6.495931559585248e-16,,True,True,True
