population,variable,weighting,spearman_rho,p_value,sample_count
all_remote_hotspots,gap_nm,pooled_hotspot,-0.5659753658279819,1.9628595146972503e-36,414
all_remote_hotspots,gap_nm,realization_balanced_mean_rho,-0.6794209587279407,,10
strongest_remote_per_realization,gap_nm,one_per_seed,-0.41818181818181815,0.22911284098281892,10
all_remote_hotspots,geodesic_distance_nm,pooled_hotspot,-0.4190497329881691,4.912505565071466e-19,414
all_remote_hotspots,geodesic_distance_nm,realization_balanced_mean_rho,-0.4664367422655319,,10
strongest_remote_per_realization,geodesic_distance_nm,one_per_seed,-0.17575757575757575,0.6271883447764846,10
all_remote_hotspots,euclidean_distance_nm,pooled_hotspot,-0.4448546898405286,1.6345991188403858e-21,414
all_remote_hotspots,euclidean_distance_nm,realization_balanced_mean_rho,-0.3338406870561828,,10
strongest_remote_per_realization,euclidean_distance_nm,one_per_seed,-0.33333333333333326,0.3465935070873343,10
all_remote_hotspots,coordination,pooled_hotspot,-0.06733038504570323,0.1715060379987284,414
all_remote_hotspots,coordination,realization_balanced_mean_rho,0.047218482245047204,,10
strongest_remote_per_realization,coordination,one_per_seed,-0.07063046178186345,0.8462643294571666,10
all_remote_hotspots,E_CDA_abs,pooled_hotspot,0.9384701243123882,2.4545188068353394e-192,414
all_remote_hotspots,E_CDA_abs,realization_balanced_mean_rho,0.914368657274579,,10
strongest_remote_per_realization,E_CDA_abs,one_per_seed,0.4787878787878787,0.16152292801745594,10
all_remote_hotspots,Cparallel_abs,pooled_hotspot,0.5659753658279819,1.9628595146972503e-36,414
all_remote_hotspots,Cparallel_abs,realization_balanced_mean_rho,0.6794209587279407,,10
strongest_remote_per_realization,Cparallel_abs,one_per_seed,0.41818181818181815,0.22911284098281892,10
all_remote_hotspots,Cperp_abs,pooled_hotspot,6.908357717637579e-05,0.9988818506456774,414
all_remote_hotspots,Cperp_abs,realization_balanced_mean_rho,0.0822731165494349,,10
strongest_remote_per_realization,Cperp_abs,one_per_seed,-0.41818181818181815,0.22911284098281892,10
