particle_i,particle_j,surface_gap_nm
0,1,4.77903486091466
0,79,2.0747983411801805
1,2,4.504939247769837
1,5,2.599910533868556
2,3,5.055856768348974
3,4,3.1433667637837104
3,6,3.6248080154565088
4,15,4.335619771403913
5,9,2.175619399004855
5,151,3.4730842690781003
6,7,4.331508389663778
6,65,3.988808927237354
7,8,2.7406696838128397
7,20,3.5095996307112607
7,65,1.8425598131624739
8,13,2.4595402102019897
8,65,3.3965405606392203
9,10,3.0470649410375543
10,11,2.191155876608306
11,12,3.1268754723572023
11,29,2.901678134291039
12,17,1.7499737939732647
12,55,4.1001892355190535
13,14,2.802561726868195
14,16,3.1578428052656804
14,19,4.023814293268494
15,21,3.8224300760454426
15,45,2.5900602330715294
16,23,4.064582425019179
16,27,2.636396349893655
17,18,2.8885680292853166
17,55,1.493265448792986
17,193,2.32156492245068
18,22,1.508973357383688
18,24,2.442707484752063
19,36,4.796445011363041
20,21,1.6978934228198064
20,25,4.42988618377413
20,56,2.742983334324599
21,32,3.2425876115559866
21,45,3.5866817910699247
22,24,5.795837965056531
22,26,1.6549625051674113
22,44,2.5632779323520403
23,28,4.265791627176256
23,36,2.313610664158162
23,105,2.2870600474018694
24,60,3.689920802946304
25,27,2.401295968504453
25,56,1.5133410540459558
26,33,4.488111938778587
26,44,1.523001332849585
26,132,2.7985178716853945
27,31,1.7225543829439864
28,30,3.4773916839241252
28,72,3.0998139032691796
29,42,3.7337755325668276
29,193,3.505294987138196
30,39,4.174872047124492
30,41,2.251940019120987
30,72,1.859544071466054
30,104,3.030304009725782
31,35,2.9341676354589907
32,34,2.5121000995059575
32,56,5.610724418785836
33,47,1.1935934200725349
34,37,4.042758389179863
34,62,2.1074255759484686
35,38,3.3122418709108032
35,105,4.104209748295958
36,49,2.54261636547173
36,140,2.9424039042821235
37,43,3.34755826577522
37,62,3.606682842545343
38,78,4.040965779256002
39,40,2.4201305289354167
39,41,5.080220252175806
39,120,5.0611752763564795
40,58,3.2860974637407985
40,64,3.3895273566795403
41,50,3.3511329279111948
41,104,5.359466998143553
42,63,1.7194338907457976
42,193,2.1933262063130172
43,46,2.7168741103833582
43,53,3.8733213086039875
44,113,5.582506630319198
45,52,3.488823089371234
46,48,2.626289086443446
47,51,3.656726903937514
48,76,2.9858173754649435
48,155,3.5703415670794385
49,59,4.227506848059477
49,140,5.981365114950652
50,64,1.5801633420362755
50,84,4.997784919855363
51,57,4.7712643514366135
51,147,2.981854915147416
52,66,1.6827049414308917
53,54,3.236591332113317
54,138,3.8816262067536655
55,173,1.9545324074553996
57,61,1.0457626181046713
58,73,2.4846730485415165
58,81,5.155954983037741
59,111,3.0773721103839655
59,120,3.5917093563668736
60,93,3.0753006409538237
60,173,4.323737847734474
61,67,2.100896689381745
61,80,1.9840865234180747
63,75,1.837049070674933
63,96,5.677535547493253
64,70,4.104169958929663
64,81,3.961579797544495
66,68,1.6487921492885995
67,69,2.189392509451668
68,92,2.462068495559805
69,86,3.142176833342724
70,71,2.6612641350171415
70,81,1.5433218753718556
71,74,2.89396274519083
71,100,4.000572785490355
73,82,2.1729771351082867
73,89,1.706356893031824
74,77,2.075982048098801
74,99,1.562449721202043
74,100,5.6338584754184815
75,88,2.417058384020727
75,96,2.5792970997901143
76,116,4.46067706763748
77,98,4.003515337510631
77,127,5.6780322583859615
78,90,2.981408796895739
78,104,2.9161790326785173
78,155,2.4799588955895473
79,87,3.2847085331065315
79,103,2.9918329308619107
80,85,4.700814153488963
82,83,1.737700975351796
82,188,1.494675929776907
83,97,2.7753211931399413
83,99,3.045645438939321
83,196,2.6759856077616604
84,91,4.397564203804183
84,153,5.7906977706929155
85,101,2.6356238850934837
86,108,3.0807071374308954
86,122,2.4272300629632433
87,95,2.001419617447933
87,103,4.9377457257625
87,117,3.9249803799589955
88,96,3.5979284994268923
88,107,1.9107718391132416
88,115,4.789975368131373
89,99,4.0792005692716735
90,129,4.039416915618538
90,155,2.7969396199246503
91,94,2.742306946496253
91,153,4.632137056084201
92,130,3.6026150419332303
93,113,3.288805945369866
93,181,2.51040012133317
94,106,3.222493401170844
96,115,1.5750392345024622
97,99,2.2975340964428526
97,102,3.4679852841643104
98,109,3.845188133212339
98,110,1.8607818306818658
100,127,2.1698298235790467
101,184,2.4959032416798053
102,137,2.964744438231701
103,117,2.9471583831003585
103,141,4.075143565551045
106,169,3.088032060286711
107,119,4.781286939018656
108,124,5.1419134695356306
109,110,2.3350075459123474
109,112,2.7328361795226
110,133,4.914184615320895
111,118,3.4246841328394666
111,120,3.0223022103016284
112,121,4.162652460083876
112,133,4.638770182814401
113,114,3.8102204434420983
114,126,3.6264764277728716
114,154,2.4225778236530147
115,132,2.115311263931357
115,187,3.380815994426598
116,125,3.6635236182952227
117,141,2.379131798499511
117,149,2.6991700093190545
118,170,2.7198324593590506
119,128,2.5643789174217098
121,123,2.5809597835382974
121,190,2.652475346659312
122,134,2.7163827455749363
123,145,3.3653520291496477
124,134,2.6442302458175604
124,139,2.532807896586604
125,143,3.122027997740858
126,135,3.705484942103592
126,166,5.128214053895526
128,168,3.0233220344009233
128,171,3.6720549913164255
129,153,3.1236251178956884
130,131,1.140192711507229
130,185,1.9881464249701608
132,187,1.1689537804526857
133,142,3.9039713527433406
134,158,2.501555315597752
135,136,2.6436609232338064
135,147,4.0698820093583095
136,150,3.3665325098694296
137,160,2.8567127714546245
138,144,1.6636132198367726
139,152,2.3263800468964746
141,161,3.0279715932594584
143,146,3.992972639126638
144,162,2.3025931116593092
145,191,3.588008099045748
146,148,2.7003478522696085
148,164,2.9996069096158067
149,157,2.212844399399163
149,161,2.883396773248286
151,156,2.519229424517146
152,159,1.0529323632685426
154,166,4.401672298277642
156,183,4.479554448939535
157,165,3.7193261112873905
158,167,4.092272299913098
159,172,1.3549279654058175
160,163,2.5780365379992354
162,174,3.5835365032776068
163,194,3.2284607319814675
164,178,3.0728128000909685
165,192,2.581937213208178
166,180,3.214274606481993
168,171,2.62995672759525
168,179,2.556166462136531
170,175,2.2636849419058116
172,176,3.5364579580368662
173,177,3.4578911997289516
174,189,1.1850840649905834
175,188,1.6489162277268363
180,182,3.2293431356711757
183,186,1.540293689541027
186,195,3.1683060405395054
194,197,4.002232512452522
196,198,4.273589770584234
197,199,4.58985236327057
