hotspot_id,particle_i,particle_j,x_nm,y_nm,gap_nm
0,0,1,1.893846477613448,-10.82746399583426,1.9836876853594383
1,0,2,-10.599457422977048,-7.518310736574025,5.990266946931307
2,0,6,11.904684733917156,2.1306567061100496,4.187700726877857
3,1,2,-8.705610945363599,-18.345774732408287,5.848260107464281
4,1,5,-2.223207057315845,-32.16234984145956,4.210479787914373
5,1,38,9.817801125497823,-32.71349027157816,5.191586233805008
6,2,3,-31.609989609381742,-18.485588090571454,1.9349810538127485
7,2,26,-25.61762788695411,-4.769711892629289,2.3548166866339173
8,3,4,-51.287242290507436,-29.212276758965093,3.564998744206484
9,3,8,-53.31120969043673,-18.31268240124205,3.7137378158370886
10,4,7,-71.92704886633453,-34.57016367992057,3.0690438275584526
11,4,8,-62.57738760813478,-25.590404452212287,2.171838101419066
12,4,10,-64.47347404989101,-46.64271002534929,1.7664298538190089
13,5,13,-5.875444923320254,-53.72413716211409,2.6063958281661073
14,5,38,3.8069011129550807,-43.22091212136921,4.107229938945451
15,6,9,35.603767216550324,3.549997256909684,3.6316557970636403
16,7,8,-73.95101626626382,-23.670569322197526,5.926992994228499
17,7,11,-87.56527014662814,-43.18689181883186,2.73375602518
18,7,40,-85.42411412029053,-20.56212242308717,4.546585126322789
19,7,130,-93.99724756888867,-34.410404581811534,1.6808190208194027
20,8,40,-76.07445286209078,-11.582363195378889,3.7734655860403272
21,9,12,57.44951123981536,-2.32824729283588,2.603248524414429
22,9,41,57.87662696751969,9.286897112311507,4.607125443941893
23,10,11,-80.1116953301846,-55.25943816426058,3.6368096096370017
24,10,14,-76.36250713508244,-65.38614616891635,3.435459028968822
25,10,180,-59.63326981866147,-64.22573158112218,2.9740404159232305
26,11,14,-88.08067457369052,-63.85016309241368,1.5969096987372353
27,11,20,-99.87739950978587,-63.63236647796038,5.530324912661783
28,11,130,-98.26184019105321,-44.946967850737586,1.762082784701466
29,12,15,78.80255561515223,-10.657005930953185,3.4713059245722206
30,12,41,67.92797324206872,4.119968717876358,3.2459895377485743
31,13,18,-3.0915134327345903,-76.1139465630084,2.686836985869949
32,13,50,-15.13300861150992,-65.60772863338786,3.291570870437969
33,14,16,-89.56274118209694,-83.47151257826197,1.6807973723858538
34,14,20,-96.12821131468371,-73.75907448261614,3.597470591837723
35,15,17,102.06552878555922,-15.501230340224385,4.158025699092253
36,15,56,90.286855030025,-2.142559189434161,3.355409435507166
37,16,20,-101.3594661181923,-83.25371596380867,3.4466928860887442
38,16,25,-96.90470974670245,-103.65670565398581,1.7938528926502748
39,17,19,124.63827238411059,-13.008485048332172,2.806582719025336
40,17,34,119.99688505961143,-27.02579717211522,3.022617781722662
41,18,29,0.8497451143808128,-98.24429324888936,2.7061318224264994
42,19,21,146.94840926567355,-7.971688924077758,3.460715542049254
43,20,22,-115.72157730261634,-82.52795446588317,3.7947866528118297
44,20,24,-117.31040457123154,-68.68631777361236,1.133636990721179
45,21,46,168.53751648532455,-11.939026869576239,2.012720862956897
46,21,47,165.10588889105435,2.662530898335787,3.428122732134021
47,22,23,-135.1568182141171,-93.3184509519142,3.555107546587365
48,23,28,-145.18133962129872,-107.94221978391111,5.842317246677929
49,23,31,-155.25966042193278,-103.11846815914936,3.287985751578198
50,23,35,-148.2822253401426,-84.12307612546837,2.1984576239373332
51,24,35,-138.2324527490943,-68.47761954488684,4.87411699998405
52,25,27,-109.89854163674877,-117.00779270528736,2.407205013155835
53,26,64,-40.33773472536918,10.912485025564958,3.2760865369597525
54,27,28,-132.17446046725752,-120.21524844482744,2.811841628518831
55,27,73,-123.61105836198146,-130.63946599782867,2.660217282995106
56,28,31,-153.64558196945092,-115.93841710283556,2.3464654831930503
57,28,36,-151.67916805222126,-129.1137407794797,3.2853420866266276
58,29,30,14.354448003999018,-114.71270458175839,2.9750386885751077
59,29,37,1.697584146564144,-119.69526728794268,1.9700596746663201
60,30,33,30.616846889908775,-130.44758493862378,3.71415847741223
61,30,165,33.8918957774068,-113.3236285477405,3.7536038570630836
62,31,32,-172.90021455812203,-117.01697910765891,1.8212744094614344
63,32,45,-187.7232028840853,-132.08156517787606,1.5250730266200705
64,32,54,-194.8459826837448,-121.44895781088934,5.707656443415164
65,33,44,24.66378232530669,-144.88633971518323,5.973439640559679
66,33,57,45.816570712558104,-147.43937489095686,2.6013151431496766
67,34,43,136.91856551441356,-35.45489406883325,2.084773874438362
68,35,39,-161.41366995681415,-73.31542542004442,3.292425217459499
69,36,53,-164.73227847352103,-146.9223969597547,1.340284216889458
70,37,44,5.733233268512197,-139.80753064152103,3.1827947780599892
71,37,65,-4.998550714482161,-140.1395041687262,1.1691139568788849
72,38,60,21.651508947854794,-52.96700275775309,1.7466207229897073
73,39,42,-183.8243767467751,-78.38128374655771,3.6361749225265747
74,39,83,-183.64653719837094,-67.55566411645839,4.2922742580825535
75,40,49,-94.93252006281523,0.10358495800916323,2.6372524851229073
76,40,86,-98.6162924530785,-10.173539527014768,2.396942895496686
77,41,56,79.41227265694148,12.634415459395383,2.967423633748222
78,41,69,75.45968111436142,24.65237715202671,2.802879406241381
79,42,52,-205.94151968378242,-81.16048395927875,3.085612199210246
80,42,83,-194.41260663802234,-72.42997843363908,1.6541605499329783
81,43,58,158.7757608246285,-34.96481527835455,1.8891707329411958
82,44,65,1.7052485783506324,-149.59569623910136,1.4738346720299838
83,44,66,14.11394146093452,-160.82991925110628,3.374253001211212
84,45,54,-200.49265922167103,-130.61123025152136,5.595806804626211
85,45,169,-196.99934963476903,-152.552070325516,3.75282559874827
86,46,48,190.12376397566516,-14.837554184700728,3.70811197364209
87,46,58,174.05465611840958,-26.32791686965374,1.0254461084972633
88,46,63,185.35880636304626,-24.839899204681334,1.2783369373562898
89,47,94,182.20464173336012,15.015791933883175,1.8968818009245645
90,48,51,212.70126983874724,-16.577726455470852,2.9682328145114028
91,48,63,197.05461498636652,-22.909431907534184,2.158675677827471
92,49,61,-107.19350667748434,18.988657871221463,2.805400930624014
93,49,86,-106.00126179977624,-1.5960382727370686,1.8347857057443377
94,50,55,-30.17606044972042,-78.15166366787582,4.4112715122539115
95,50,180,-38.81112309599216,-69.04649827763963,4.68188613766651
96,51,107,234.71637355724067,-16.26861314121342,3.6466634283858887
97,52,59,-228.90617608341785,-80.94633208251815,3.5298386505432795
98,52,168,-216.66874562541574,-67.33930865756727,3.4852887548333733
99,53,85,-165.91614349445982,-167.2714291025066,3.04362161453901
100,54,62,-217.69725688410972,-125.14443554562592,2.656449136415482
101,55,76,-28.618284513183735,-99.7656114064209,2.166748379360353
102,55,78,-43.88339495817527,-95.7825559064474,3.722569745282204
103,55,180,-42.23794909947466,-80.7612073117173,5.097278233991233
104,56,69,86.51686480152983,21.551679488398346,5.302520281428851
105,56,80,101.99914084399327,10.01194904839228,3.0791966756070543
106,57,81,63.83197417755268,-160.26378640203075,1.6661681615307664
107,57,96,53.72197506150596,-165.53343242456262,2.4203959025786546
108,58,63,180.98550712911097,-34.3997945924872,2.8033339075310373
109,59,68,-251.4813027938862,-86.84658869248014,3.35038928927165
110,60,120,29.8913360943536,-73.97758152228893,4.128347032613007
111,61,74,-123.56547399790648,31.597178267270174,3.4479195409119505
112,62,72,-236.92133736160022,-136.26266131220228,1.818541426474642
113,62,75,-235.04589780687547,-121.11267818741374,3.443720834811298
114,63,100,198.77706876298777,-41.665653972752374,1.7914542751401115
115,64,67,-61.42290216406654,20.82301846932714,3.3663870977695396
116,65,82,-19.253560716159356,-142.0020724715081,5.87718216511977
117,65,88,-9.744782894575348,-160.90571885189107,2.003039897459299
118,66,106,16.397220545120398,-183.47229875882508,2.1855370863678054
119,67,71,-74.95146149758757,36.71191185154302,3.4392019274688153
120,68,70,-274.29924193850826,-89.88564825353409,3.7936941796356436
121,69,84,92.28044676101123,38.46575175367263,1.7601402809547722
122,70,102,-296.48732250892124,-91.2660059489518,1.1958596715102594
123,71,97,-87.62771251824377,51.65180996326205,1.0912207857658274
124,72,92,-246.12988614302017,-153.19906944960542,1.9683900836721797
125,72,114,-253.13601067515066,-134.22467977954716,1.341546295081418
126,73,77,-132.7840000644182,-150.82067538324566,2.366578378395232
127,74,108,-141.99699817411863,43.7830063435061,4.150613075049311
128,74,136,-146.70730216991802,34.383875110937794,3.3120079271335285
129,75,114,-251.26057112042594,-119.07469665475858,2.9193133804965328
130,76,82,-26.55713430041977,-121.87066264379897,5.102066017772323
131,77,124,-139.8232022778791,-171.41365160017338,2.808284482442428
132,78,79,-55.940953516644385,-113.45448415940378,3.7785994993046437
133,79,166,-64.61753316809174,-133.40462241451206,1.4244335932709653
134,80,191,119.26052636410809,19.590428679599754,1.509711028947894
135,81,90,77.10579574744202,-177.2798682693325,3.7664074988719314
136,81,96,62.81133990321082,-171.42742576314996,2.8018640754874653
137,82,103,-35.93814998800312,-142.769679161735,1.6584327989806624
138,83,168,-205.13983257965566,-58.60880313192761,2.6180288375211163
139,84,89,112.64116746370956,48.73085236496098,3.8438620312783627
140,85,87,-164.11324386363694,-190.85884419817927,5.690053777471327
141,85,124,-151.33883318134485,-180.4799666921606,2.1303752277294024
142,85,145,-172.32814627253725,-182.81871363951896,2.3685189955914154
143,86,91,-120.3250040150619,-17.465455363984706,4.040190887013452
144,86,130,-107.18942590167663,-24.02182168573913,4.8046749204490204
145,87,109,-162.57040659249589,-214.66679409806136,3.2996321784897766
146,87,145,-174.28258515867105,-195.5141807208323,2.9894167814722756
147,87,174,-175.56093291564562,-210.17139301482007,3.1436876408136634
148,88,110,-9.354925033395395,-183.53427560385023,3.4061723785343396
149,88,115,-20.130903373379013,-178.6544189352527,3.605887660722413
150,89,188,131.6074678561241,62.50273636894531,3.652501193539024
151,89,191,124.138971024343,41.39525973089417,5.466406680460729
152,90,93,88.96855512852173,-196.4605166844359,2.261780618088597
153,90,128,76.37045684923575,-198.8542730164421,3.104571264992604
154,91,98,-142.37178506971742,-26.175769781333713,3.6505731383523425
155,91,116,-140.27720205952255,-15.361165593491274,4.1623653388897495
156,92,138,-257.32528314908916,-168.1374374526343,3.6215303204019733
157,92,150,-234.48859795922777,-164.11311367727916,3.415566641661762
158,93,95,103.50860103082347,-213.08725014102725,1.9542359238384144
159,93,128,84.04875950213102,-206.9128329028311,5.646999795809869
160,94,129,203.82587839503978,20.427930101343243,2.6809079185366755
161,95,132,115.44429911801086,-231.99549769433935,3.0358110490621293
162,97,101,-107.79911014882454,58.455838981188144,1.4913314839442577
163,98,99,-166.36023557495452,-28.603784010024246,5.201091827556699
164,98,116,-151.6840132891557,-18.479187404616578,2.031154461470816
165,98,179,-160.5409779593134,-37.9582640741138,1.9820735237014944
166,99,113,-190.0985005501847,-27.395215034197594,2.337341195431325
167,99,179,-173.12261723491733,-37.268256491679026,2.0336158146270336
168,100,104,214.3475128155111,-57.415372932062354,2.929743692327733
169,100,190,197.9866252318953,-59.97746713069295,4.026761327812963
170,101,160,-126.52774790580133,69.33086968019907,2.8105814219074396
171,101,173,-113.60242371988738,72.25182878018882,2.8680991639229134
172,102,119,-315.4912942553201,-100.36732846497102,1.9677940884557223
173,102,127,-318.6942554548476,-90.02872660302292,4.816622667838011
174,103,137,-49.31333513151743,-160.61255239610017,2.9407872756259046
175,104,105,234.36366444143894,-65.08885663253682,1.908198341444571
176,105,125,254.74378651705086,-59.70603086167534,2.447729045857379
177,105,184,255.34550464243398,-71.96427955509265,3.61264826636236
