lam_nm,eps_real,eps_imag,n,k
187.9,-0.324044,2.59368,1.07,1.212
191.6,-0.3078239999999999,2.7104000000000004,1.1,1.232
195.3,-0.3206249999999995,2.8112,1.12,1.255
199.3,-0.331129,2.9115599999999997,1.14,1.277
203.3,-0.3571160000000002,2.9808,1.15,1.296
207.3,-0.32894400000000035,3.09632,1.18,1.312
211.9,-0.31562500000000004,3.1799999999999997,1.2,1.325
216.4,-0.2964960000000003,3.25984,1.22,1.336
221.4,-0.23846400000000023,3.3550000000000004,1.25,1.342
226.20000000000002,-0.21873600000000004,3.38688,1.26,1.344
231.3,-0.2030489999999998,3.47392,1.28,1.357
237.1,-0.23028899999999997,3.49952,1.28,1.367
242.60000000000002,-0.20888399999999963,3.5827999999999998,1.3,1.378
249.0,-0.21322099999999988,3.63918,1.31,1.389
255.1,-0.17154899999999995,3.7053800000000003,1.33,1.393
261.6,-0.10126899999999983,3.7449000000000003,1.35,1.387
268.9,0.02201599999999937,3.78672,1.38,1.372
276.1,0.21653899999999981,3.7534199999999998,1.41,1.331
284.4,0.39040399999999975,3.5644799999999996,1.41,1.264
292.4,0.5841789999999996,3.2275799999999997,1.39,1.161
300.9,0.8663040000000004,2.58352,1.34,0.964
310.7,0.8974439999999997,1.3921599999999998,1.13,0.616
320.40000000000003,0.5024360000000001,0.63504,0.81,0.392
331.5,-0.6583409999999998,0.28186,0.17,0.829
342.5,-1.2845639999999998,0.31976,0.14,1.142
354.2,-2.0035610000000004,0.2838,0.1,1.419
367.9,-2.740749,0.23198000000000002,0.07,1.657
381.5,-3.4719960000000003,0.1864,0.05,1.864
397.4,-4.282399999999999,0.207,0.05,2.07
413.3,-5.173124999999999,0.2275,0.05,2.275
430.5,-6.059844000000001,0.19696000000000002,0.04,2.462
450.90000000000003,-7.0580490000000005,0.21256,0.04,2.657
471.4,-8.228661000000002,0.28690000000000004,0.05,2.869
495.90000000000003,-9.564149,0.3093,0.05,3.093
520.9,-11.046476,0.33240000000000003,0.05,3.324
548.6,-12.855795999999998,0.43032,0.06,3.586
582.0999999999999,-14.881664,0.38580000000000003,0.05,3.858
616.8000000000001,-17.235504000000002,0.49824,0.06,4.152
659.5,-20.094788999999995,0.4483,0.05,4.483
704.5,-23.404644,0.38704,0.04,4.838
756.0,-27.477663999999997,0.31451999999999997,0.03,5.242
821.1,-32.796929,0.45816,0.04,5.727
892.0,-39.839744,0.5049600000000001,0.04,6.312
984.0,-48.886464,0.55936,0.04,6.992
1088.0,-60.760425,0.6236,0.04,7.795
1216.0,-77.925484,1.5890399999999998,0.09,8.828
1393.0,-101.99309999999998,2.626,0.13,10.1
1610.0,-140.39999999999998,3.5549999999999997,0.15,11.85
1937.0,-198.1888,6.7584,0.24,14.08
